"t","valor esperado de Haar de la pureza de Choi"
0.,0.9999999999999998
0.5,0.9429344675286335
1.,0.8213266160618726
1.5,0.7112470903358724
2.,0.636387931380469
2.5,0.5831022468014693
3.,0.5398599326998043
3.5,0.5127477196557828
4.,0.5087641440532262
4.5,0.5169743108526834
5.,0.5208828989218197
5.5,0.5256983215884701
6.,0.5468110119673107
6.5,0.5782821349793064
7.,0.5923753276971936
7.5,0.5748776368418584
8.,0.5465704219722938
8.5,0.5317066906243886
9.,0.533294514248118
9.5,0.5419389977595417
10.,0.5481061801442346
10.5,0.5515671727116183
11.,0.557977811053773
11.5,0.5673222788514144
12.,0.577050393946205
12.5,0.5905162166074481
13.,0.6071762361681453
13.5,0.6142439467793429
14.,0.6008923733326718
14.5,0.5719131882736819
15.,0.54124972235688
15.5,0.5180060226887795
16.,0.5009401031639438
16.5,0.48549895330796644
17.,0.4719346169416293
17.5,0.4664267013480551
18.,0.47556287099924394
18.5,0.497863426101235
19.,0.5256768295542639
19.5,0.550161061410312
20.,0.5649486854656074
20.5,0.5736428824665796
21.,0.5892934255669919
21.5,0.6221344158371007
22.,0.6673611099772124
22.5,0.7046645337441103
23.,0.712798468944315
23.5,0.6889821670262366
24.,0.6470575287835046
24.5,0.5997519617401499
25.,0.5571458552176386
25.5,0.5313286437601348
26.,0.5292704640271955
26.5,0.5458847077519888
27.,0.5654203828028628
27.5,0.5755062429877005
28.,0.5816209561393816
28.5,0.5949110321877797
29.,0.6072671124260552
29.5,0.595014313007374
30.,0.5552615762560575
30.5,0.5149892996472942
31.,0.49717574619078286
31.5,0.5011765733756341
32.,0.5147516568764297
32.5,0.5353392021614239
33.,0.570494727764263
33.5,0.617386267347057
34.,0.6533452047312105
34.5,0.6619670109935313
35.,0.6619697600583822
35.5,0.6798385620338722
36.,0.7042706498228227
36.5,0.6944731057775779
37.,0.6395811062524169
37.5,0.5747043269150311
38.,0.5309832135283055
38.5,0.5107692506830604
39.,0.49791521160485624
39.5,0.48204344298564483
40.,0.4725486899140841
40.5,0.4785261355159958
41.,0.4925112607900466
41.5,0.5047219899233724
42.,0.5180180099217317
42.5,0.5347134942530685
43.,0.5452552406293001
43.5,0.5374469154020645
44.,0.5144536661681106
44.5,0.4962815673784736
45.,0.49635070094625566
45.5,0.5122428499612306
46.,0.5312780563427243
46.5,0.5420725836279905
47.,0.5459870143340839
47.5,0.5469398938506931
48.,0.5431838674095926
48.5,0.5357727392000571
49.,0.5299283231008244
49.5,0.5279425942944284
50.,0.5296924928472315
50.5,0.5340733991799093
51.,0.5370639030334053
51.5,0.5358015960074443
52.,0.5295265544502793
52.5,0.5162840729974925
53.,0.4971830386481534
53.5,0.48050900701951027
54.,0.47868274527349536
54.5,0.5000360041616929
55.,0.5426839919562645
55.5,0.5950193541384514
56.,0.6386310618064373
56.5,0.6599740260851024
57.,0.6625347711894595
57.5,0.6601833214539763
58.,0.6605009292917883
58.5,0.6575653328480286
59.,0.6409458576614644
59.5,0.6094889130866059
60.,0.5736617074508081
60.5,0.5441738613827403
61.,0.524882851685309
61.5,0.517247361803769
62.,0.5220141522028526
62.5,0.536503692252194
63.,0.5501152486669255
63.5,0.5485678846608224
64.,0.5341090570028074
64.5,0.5262512548259721
65.,0.5348945781591324
65.5,0.5469371748354239
66.,0.5412100379980852
66.5,0.5151419512710088
67.,0.4881744535303783
67.5,0.4774091990408999
68.,0.48160280181733206
68.5,0.49198593694626785
69.,0.509084174736185
69.5,0.5368601700724717
70.,0.565247416103098
70.5,0.5717741903380257
71.,0.5516909977460108
71.5,0.5274830066994732
72.,0.5154633092084295
72.5,0.5095076911182306
73.,0.49704900056820706
73.5,0.47944629270195854
74.,0.4710592690869638
74.5,0.4787882110244218
75.,0.4914624616452045
75.5,0.49188616884342873
76.,0.4810064499027054
76.5,0.474120649276249
77.,0.4791003805517489
77.5,0.49296643797498074
78.,0.5102191301408399
78.5,0.5290322478142125
79.,0.5478222356443145
79.5,0.5618058527639366
80.,0.5638054472579219
80.5,0.5532157712736624
81.,0.5409282915468778
81.5,0.5344763724425641
82.,0.5295390631891366
82.5,0.5191270631630927
83.,0.5067356709372677
83.5,0.5039744157749974
84.,0.5163918962989433
84.5,0.5404063782965455
85.,0.5648181974635798
85.5,0.5775340466535018
86.,0.576971929879149
86.5,0.5704680955193027
87.,0.5624269339695758
87.5,0.5514017670722444
88.,0.5388830068922237
88.5,0.5281627924263698
89.,0.5176087041252435
89.5,0.505017383576401
90.,0.49305490502695193
90.5,0.48852287040241393
91.,0.49818903962021044
91.5,0.5242922226919517
92.,0.5585539913518198
92.5,0.5836980394031444
93.,0.5903937946206106
93.5,0.5851429076719528
94.,0.5775639911921688
94.5,0.5678019241276
95.,0.5496762683455139
95.5,0.5227767734186871
96.,0.4951479099132072
96.5,0.47656405436165394
97.,0.4707578467141386
97.5,0.4740865173901276
98.,0.4828893124850857
98.5,0.49557800690820447
99.,0.5063452585479868
99.5,0.5049253325160586
100.,0.48979514539619107
