"t","valor esperado de Haar de la pureza de Choi"
0.,1.0000000000000004
0.5,0.953790840926064
1.,0.9037494399098379
1.5,0.840545698181389
2.,0.7468533749448071
2.5,0.6869799184425814
3.,0.6585342357602528
3.5,0.6637194535878441
4.,0.7037478065963184
4.5,0.7811787609660259
5.,0.866406947423431
5.5,0.9166728577182732
6.,0.9809873139077847
6.5,0.9847591817220972
7.,0.9297632229027488
7.5,0.8895913988620209
8.,0.801563992359323
8.5,0.7187942156927608
9.,0.6740520088145
9.5,0.6539244535560476
10.,0.6720938090750179
10.5,0.7277282509420632
11.,0.8132227470993199
11.5,0.8798527838982372
12.,0.9392244589228445
12.5,0.9917612136313473
13.,0.9557810936810626
13.5,0.9178458193748342
14.,0.85966901741078
14.5,0.7611115221323357
15.,0.6998068533005491
15.5,0.6616821075406212
16.,0.6524171560894252
16.5,0.6867186861036166
17.,0.7556635637920509
17.5,0.8349555593560858
18.,0.8940227403632889
18.5,0.9643954133893528
19.,0.9763065871399954
19.5,0.9334833995416703
20.,0.9031434847597286
20.5,0.815270090344058
21.,0.7316131800071819
21.5,0.6837521525469838
22.,0.6493572753613647
22.5,0.6576356565051821
23.,0.7068334358196623
23.5,0.7808756451032415
24.,0.8497824454464856
24.5,0.9166113467642185
25.,0.9726495923815345
25.5,0.9485953456752423
26.,0.9231875429623174
26.5,0.8710647262172586
27.,0.7724185358323309
27.5,0.7118212894659575
28.,0.664922825523283
28.5,0.6427014080258107
29.,0.6705018274696998
29.5,0.7285050538979159
30.,0.8004230204640033
30.5,0.8664895508358609
31.,0.9386160717280788
31.5,0.9578860636039132
32.,0.9295487810675132
32.5,0.9087087501509078
33.,0.8239948115358883
33.5,0.7423963767869626
34.,0.6925785472691384
34.5,0.6462262201907876
35.,0.6454239764907261
35.5,0.6866448212016683
36.,0.7475269947730357
36.5,0.8167939083342695
37.,0.887610249032251
37.5,0.9445643616640299
38.,0.9340977610246949
38.5,0.9204752518869954
39.,0.8743998061829198
39.5,0.7798086679350111
40.,0.7218903699520912
40.5,0.6682483937587794
41.,0.6350098217216567
41.5,0.6558283108914422
42.,0.7012573425105726
42.5,0.7645417208880851
43.,0.8349643321596618
43.5,0.9055309988013927
44.,0.9314515139223578
44.5,0.9177034632821714
45.,0.904507091526586
45.5,0.8261944115970103
46.,0.7499337771219512
46.5,0.699388582149761
47.,0.6436098084666062
47.5,0.6349957680209957
48.,0.6668255354546925
48.5,0.7141023940309836
49.,0.7819239021974451
49.5,0.8533907988384697
50.,0.9083239841837919
50.5,0.9115305915169473
51.,0.9082706688068269
51.5,0.868826248992371
52.,0.7821811088056551
52.5,0.7279943117298167
53.,0.6694072788607773
53.5,0.6283209846703136
54.,0.6418264202190935
54.5,0.6743480043761205
55.,0.7281090540204003
55.5,0.7995919976093189
56.,0.8651113996046444
56.5,0.8970388937829846
57.,0.8974099850854443
57.5,0.8897528666342228
58.,0.820429492214373
58.5,0.7519125037103271
59.,0.7016556372671902
59.5,0.6402052990734581
60.,0.6252222884643497
60.5,0.646970942590856
61.,0.6807406208681108
61.5,0.7452066706656295
62.,0.8140149826801693
62.5,0.8652332637195242
63.,0.881345762157606
63.5,0.8859892852348513
64.,0.8532782922420554
64.5,0.7780287106716252
65.,0.7284246427716521
65.5,0.6674990811653044
66.,0.6216051366539622
66.5,0.6278938466232322
67.,0.6476922294705919
67.5,0.6923074628357999
68.,0.7618923395920467
68.5,0.8200066900720402
69.,0.8565943070328035
69.5,0.8692072617057653
70.,0.8655231231311581
70.5,0.8075872549974583
71.,0.7484022499004477
71.5,0.6991979427176952
72.,0.6355291680166898
72.5,0.6159595005582286
73.,0.6277858189135975
73.5,0.6497020741332957
74.,0.7090632782015489
74.5,0.7721515081597885
75.,0.8189344076372691
75.5,0.8464395774195839
76.,0.8568228091481374
76.5,0.8305026729129497
77.,0.7687410813971616
77.5,0.7238983768603895
78.,0.6632555121324752
78.5,0.6157370926915395
79.,0.6153074193159764
79.5,0.6237106737988074
80.,0.6596275295322698
80.5,0.7245530722586988
81.,0.7746616165522904
81.5,0.8145115458125473
82.,0.8367369004751859
82.5,0.8351956113547685
83.,0.7900698402476165
83.5,0.7407508849799569
84.,0.6931824667535325
84.5,0.6307307265971624
85.,0.6080718995041472
85.5,0.6108012258381699
86.,0.6227366524678815
86.5,0.6758163690753062
87.,0.731496723925565
87.5,0.7731420611177033
88.,0.8094510933253805
88.5,0.8231677175678738
89.,0.8032464024925534
89.5,0.7556847173993795
90.,0.7151041113554375
90.5,0.6570143945940244
91.,0.6103783401642391
91.5,0.6038088354188629
92.,0.6027862894611584
92.5,0.6309491736442037
93.,0.6890535350850178
93.5,0.7305845242756553
94.,0.7725371445730517
94.5,0.8014156157834876
95.,0.8009055390026179
95.5,0.7687697735586048
96.,0.7289572181440889
96.5,0.68363109346516
97.,0.6253095581090296
97.5,0.6006971101151253
98.,0.5954041022606769
98.5,0.5995846029974807
99.,0.6453637431456919
99.5,0.692404518000952
100.,0.7295108797174228
