"L=11;{hx,hz,J}={1.,2.5,ConstantArray[1.,L-1]};SeedRandom[32371];ψ0E=Table[RandomChainProductState[L-1],3];Superoperator[t,ψ0E[[1]],eigenvalsH,eigenvecsH,L];"
"{1.0000000000010747 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0.}","{0. + 0.*I, 0.9999999999991128 + 6.96901654039092*^-15*I, 0., 0. + 0.*I}","{0. + 0.*I, 0., 0.9999999999991128 - 6.96901654039092*^-15*I, 0. + 0.*I}","{0., 0. + 0.*I, 0. + 0.*I, 0.999999999997151 + 0.*I}"
"{0.9903186262233423 + 0.*I, 0.02717266276368079 + 0.09360598283152088*I, 0.02717266276368079 - 0.09360598283152088*I, 0.00968092339589522 + 0.*I}","{0.026617426062274498 + 0.09374799937712733*I, 0.8229659418950819 - 0.5177023208699375*I, 0.009680933158045083 + 0.00005413869400657481*I, -0.02667482611448715 - 0.0937337656247339*I}","{0.026617426062274498 - 0.09374799937712733*I, 0.009680933158045083 - 0.00005413869400657481*I, 0.8229659418950819 + 0.5177023208699375*I, -0.02667482611448715 + 0.0937337656247339*I}","{0.00968137377908291 + 0.*I, -0.0271726627602242 - 0.09360598283246688*I, -0.0271726627602242 + 0.09360598283246688*I, 0.9903190766020274 + 0.*I}"
"{0.9646618202081513 + 0.*I, 0.0954354204204334 + 0.15377115744431058*I, 0.0954354204204334 - 0.15377115744431058*I, 0.03530218610293491 + 0.*I}","{0.09180155779937711 + 0.15576934024747882*I, 0.3981606139769901 - 0.798035140916335*I, 0.03530757161450154 + 0.0006957798648173344*I, -0.09287605414330238 - 0.15520463466212425*I}","{0.09180155779937711 - 0.15576934024747882*I, 0.03530757161450154 - 0.0006957798648173344*I, 0.3981606139769901 + 0.798035140916335*I, -0.09287605414330238 + 0.15520463466212425*I}","{0.03533817979567313 + 0.*I, -0.09543542041664375 - 0.15377115744348852*I, -0.09543542041664375 + 0.15377115744348852*I, 0.9646978138905324 + 0.*I}"
"{0.9310595279963854 + 0.*I, 0.1761404323926442 + 0.1644752612036887*I, 0.1761404323926442 - 0.1644752612036887*I, 0.06849969118936738 + 0.*I}","{0.16739400352772343 + 0.17273476519588532*I, -0.07081068079927397 - 0.7692291389796004*I, 0.06859535017864445 + 0.002497332051027527*I, -0.17236314117388157 - 0.16829734251831674*I}","{0.16739400352772343 - 0.17273476519588532*I, 0.06859535017864445 - 0.002497332051027527*I, -0.07081068079927397 + 0.7692291389796004*I, -0.17236314117388157 + 0.16829734251831674*I}","{0.06894047200965053 + 0.*I, -0.17614043238935187 - 0.16447526120175843*I, -0.17614043238935187 + 0.16447526120175843*I, 0.9315003088052494 + 0.*I}"
"{0.8981981254846403 + 0.*I, 0.24043766831954158 + 0.13070676368819192*I, 0.24043766831954158 - 0.13070676368819192*I, 0.0994131633972431 + 0.*I}","{0.22787899300128137 + 0.1506621409235916*I, -0.4002125496084847 - 0.49356361371089535*I, 0.10002764604189622 + 0.004906534071831291*I, -0.23920997029806573 - 0.1337292745673525*I}","{0.22787899300128137 - 0.1506621409235916*I, 0.10002764604189622 - 0.004906534071831291*I, -0.4002125496084847 + 0.49356361371089535*I, -0.23920997029806573 + 0.1337292745673525*I}","{0.10180187451708902 + 0.*I, -0.24043766832154007 - 0.13070676368817707*I, -0.24043766832154007 + 0.13070676368817707*I, 0.9005868366026426 + 0.*I}"
"{0.8721887289477093 + 0.*I, 0.27049468183309 + 0.07281884226225988*I, 0.27049468183309 - 0.07281884226225988*I, 0.11975576210733682 + 0.*I}","{0.2590430311152006 + 0.10776097692391418*I, -0.4910855716858593 - 0.11608208230270711*I, 0.12203805343811433 + 0.006343611268449457*I, -0.2732627805915344 - 0.06596951543294353*I}","{0.2590430311152006 - 0.10776097692391418*I, 0.12203805343811433 - 0.006343611268449457*I, -0.4910855716858593 + 0.11608208230270711*I, -0.2732627805915344 + 0.06596951543294353*I}","{0.1278112710533788 + 0.*I, -0.2704946818353794 - 0.0728188422670647*I, -0.2704946818353794 + 0.0728188422670647*I, 0.8802442378900132 + 0.*I}"
"{0.8550769559932132 + 0.*I, 0.2644771111961015 + 0.016368035259131858*I, 0.2644771111961015 - 0.016368035259131858*I, 0.12520930058505853 + 0.*I}","{0.2603925236658 + 0.06491622783757292*I, -0.3494505287312959 + 0.2025253556877933*I, 0.13114497076099668 + 0.005476104018420334*I, -0.2643637785510283 + 0.010519799016387603*I}","{0.2603925236658 - 0.06491622783757292*I, 0.13114497076099668 - 0.005476104018420334*I, -0.3494505287312959 - 0.2025253556877933*I, -0.2643637785510283 - 0.010519799016387603*I}","{0.14492304401016737 + 0.*I, -0.26447711119408396 - 0.01636803526277448*I, -0.26447711119408396 + 0.01636803526277448*I, 0.8747906994098886 + 0.*I}"
"{0.8451643901907302 + 0.*I, 0.23495283027050493 - 0.018221159147262328*I, 0.23495283027050493 + 0.018221159147262328*I, 0.11686533221674153 + 0.*I}","{0.24259257049963207 + 0.03758309794838256*I, -0.06869270689814597 + 0.34428551694988846*I, 0.12874357577081666 + 0.0025147390055465565*I, -0.21657927314292771 + 0.0674429199428828*I}","{0.24259257049963207 - 0.03758309794838256*I, 0.12874357577081666 - 0.0025147390055465565*I, -0.06869270689814597 - 0.34428551694988846*I, -0.21657927314292771 - 0.0674429199428828*I}","{0.15483560981017666 + 0.*I, -0.23495283026826505 + 0.018221159143909406*I, -0.23495283026826505 - 0.018221159143909406*I, 0.88313466777675 + 0.*I}"
"{0.8386384358589651 + 0.*I, 0.2024007708501095 - 0.02295203470244085*I, 0.2024007708501095 + 0.02295203470244085*I, 0.1010523085055342 + 0.*I}","{0.22213454299057248 + 0.030923321259816186*I, 0.21113530699813268 + 0.2709216712054825*I, 0.12026905680825148 - 0.0006249513451640105*I, -0.1498001243211508 + 0.08267043485403341*I}","{0.22213454299057248 - 0.030923321259816186*I, 0.12026905680825148 + 0.0006249513451640105*I, 0.21113530699813268 - 0.2709216712054825*I, -0.1498001243211508 - 0.08267043485403341*I}","{0.16136156413867 + 0.*I, -0.20240077084706332 + 0.022952034698197753*I, -0.20240077084706332 - 0.022952034698197753*I, 0.8989476914914158 + 0.*I}"
"{0.8318303799304643 + 0.*I, 0.18628472720337316 - 0.004643794055828154*I, 0.18628472720337316 + 0.004643794055828154*I, 0.08694453057605989 + 0.*I}","{0.21460644782653265 + 0.03841740623442655*I, 0.3561939497232979 + 0.036208021124879294*I, 0.11270089928558946 - 0.0016148999966461592*I, -0.09416487723810904 + 0.05148236823050354*I}","{0.21460644782653265 - 0.03841740623442655*I, 0.11270089928558946 + 0.0016148999966461592*I, 0.3561939497232979 - 0.036208021124879294*I, -0.09416487723810904 - 0.05148236823050354*I}","{0.16816962006742825 + 0.*I, -0.18628472720165787 + 0.004643794050543926*I, -0.18628472720165787 - 0.004643794050543926*I, 0.913055469422385 + 0.*I}"
