"L=11;{hx,hz,J}={1.,2.5,ConstantArray[1.,L-1]};SeedRandom[32371];ψ0E=Table[RandomChainProductState[L-1],3];Superoperator[t,ψ0E[[3]],eigenvalsH,eigenvecsH,L];"
"{1.0000000000069273, 0, 0, 0}","{0, 1.0000000000058697, 0, 0}","{0, 0, 1.0000000000058697, 0}","{0, 0, 0, 1.0000000000048122}"
"{0.9903121981863774, 0.02682066576775697 + 0.09373063179309385*I, 0.02682066576775697 - 0.09373063179309385*I, 0.009687918721043708}","{0.02622007286381952 + 0.09388424769788822*I, 0.8269421078801964 - 0.5104384079802531*I, 0.009687645356545687 + 0.00006213417745804519*I, -0.026212703169514268 - 0.09388667987343155*I}","{0.02622007286381952 - 0.09388424769788822*I, 0.009687645356545687 - 0.00006213417745804519*I, 0.8269421078801964 + 0.5104384079802531*I, -0.026212703169514268 + 0.09388667987343155*I}","{0.009687801817994526, -0.026820665764100252 - 0.0937306317941818*I, -0.026820665764100252 + 0.0937306317941818*I, 0.9903120812822247}"
"{0.9645286413753986, 0.09401133208370646 + 0.15497912612382608*I, 0.09401133208370646 - 0.15497912612382608*I, 0.03546575325715581}","{0.08985612455822861 + 0.15726424749339896*I, 0.41847264798210854 - 0.7851756796696965*I, 0.03545612333368713 + 0.0008971718993623979*I, -0.09018479529608006 - 0.15712040560692087*I}","{0.08985612455822861 - 0.15726424749339896*I, 0.03545612333368713 - 0.0008971718993623979*I, 0.41847264798210854 + 0.7851756796696965*I, -0.09018479529608006 + 0.15712040560692087*I}","{0.035471358627243724, -0.0940113320813304 - 0.1549791261253563*I, -0.0940113320813304 + 0.1549791261253563*I, 0.9645342467476101}"
"{0.9302421897109678, 0.1736915232260405 + 0.1690179315366907*I, 0.1736915232260405 - 0.1690179315366907*I, 0.06957922960834409}","{0.16342347207780805 + 0.17871964654353492*I, -0.02275679208129447 - 0.7667683673954058*I, 0.06954856298366793 + 0.0035462839397146966*I, -0.16623085956816927 - 0.17648180144462686*I}","{0.16342347207780805 - 0.17871964654353492*I, 0.06954856298366793 - 0.0035462839397146966*I, -0.02275679208129447 + 0.7667683673954058*I, -0.16623085956816927 + 0.17648180144462686*I}","{0.06975781029205189, -0.1736915232247505 - 0.16901793153876488*I, -0.1736915232247505 + 0.16901793153876488*I, 0.9304207703937935}"
"{0.8954443713907712, 0.2391883238657287 + 0.141001478083951*I, 0.2391883238657287 - 0.141001478083951*I, 0.10319640410433616}","{0.22449061689907263 + 0.1643965525011792*I, -0.3329844770225233 - 0.5277159349741732*I, 0.10333726845600741 + 0.007594824337374311*I, -0.23286024629825766 - 0.15318004127012336*I}","{0.22449061689907263 - 0.1643965525011792*I, 0.10333726845600741 - 0.007594824337374311*I, -0.3329844770225233 + 0.5277159349741732*I, -0.23286024629825766 + 0.15318004127012336*I}","{0.10455562861367948, -0.2391883238648877 - 0.14100147808539115*I, -0.2391883238648877 + 0.14100147808539115*I, 0.8968035958968358}"
"{0.8658836798181856, 0.27480892922985733 + 0.08898899350847753*I, 0.27480892922985733 - 0.08898899350847753*I, 0.12866908600369442}","{0.261758871427054 + 0.12911111560551142*I, -0.43649769088194745 - 0.200758963092166*I, 0.12982830165197806 + 0.010962495576658519*I, -0.2741263007230658 - 0.09745028517831761*I}","{0.261758871427054 - 0.12911111560551142*I, 0.12982830165197806 - 0.010962495576658519*I, -0.43649769088194745 + 0.200758963092166*I, -0.2741263007230658 + 0.09745028517831761*I}","{0.13411632018672778, -0.2748089292263992 - 0.0889889935098716*I, -0.2748089292263992 + 0.0889889935098716*I, 0.8713309139999911}"
"{0.8441057716685811, 0.27883614284611186 + 0.03469699342639128*I, 0.27883614284611186 - 0.03469699342639128*I, 0.1412607366779636}","{0.2746304269006342 + 0.08911210751207652*I, -0.344871267368553 + 0.07941800455602427*I, 0.1451611311002179 + 0.011851028244759894*I, -0.2798643895526507 - 0.028206625865427576*I}","{0.2746304269006342 - 0.08911210751207652*I, 0.1451611311002179 - 0.011851028244759894*I, -0.344871267368553 - 0.07941800455602427*I, -0.2798643895526507 + 0.028206625865427576*I}","{0.1558942283350258, -0.27883614284281927 - 0.03469699342677543*I, -0.27883614284281927 + 0.03469699342677543*I, 0.8587392633251973}"
"{0.829702281570675, 0.2614580198569619 - 0.004802888120611998*I, 0.2614580198569619 + 0.004802888120611998*I, 0.14068786360069574}","{0.2710215469342743 + 0.05688044181810524*I, -0.13930598539328212 + 0.21742850474651718*I, 0.14939273791794722 + 0.010341749721749808*I, -0.25123097218271734 + 0.03017219470100388*I}","{0.2710215469342743 - 0.05688044181810524*I, 0.14939273791794722 - 0.010341749721749808*I, -0.13930598539328212 - 0.21742850474651718*I, -0.25123097218271734 - 0.03017219470100388*I}","{0.17029771843478123, -0.261458019854513 + 0.004802888120753808*I, -0.261458019854513 - 0.004802888120753808*I, 0.8593121364018953}"
"{0.8205174011454828, 0.2389536726320024 - 0.022898778018725797*I, 0.2389536726320024 + 0.022898778018725797*I, 0.13122854959288194}","{0.26328002548755775 + 0.03686565425223465*I, 0.06343015920987721 + 0.1888851758349141*I, 0.14596487286777352 + 0.008002162470563469*I, -0.2036331578603081 + 0.05856122271879265*I}","{0.26328002548755775 - 0.03686565425223465*I, 0.14596487286777352 - 0.008002162470563469*I, 0.06343015920987721 - 0.1888851758349141*I, -0.2036331578603081 - 0.05856122271879265*I}","{0.17948259885923729, -0.23895367263215495 + 0.022898778016900725*I, -0.23895367263215495 - 0.022898778016900725*I, 0.8687714504081363}"
"{0.8144389726909587, 0.2258791174758525 - 0.02474154190236422*I, 0.2258791174758525 + 0.02474154190236422*I, 0.11954860594217892}","{0.26184079688229367 + 0.02441993862741513*I, 0.16250445365497745 + 0.04716432171027458*I, 0.13959944590443735 + 0.00653298559024423*I, -0.15981644729583794 + 0.05323663187241725*I}","{0.26184079688229367 - 0.02441993862741513*I, 0.13959944590443735 - 0.00653298559024423*I, 0.16250445365497745 - 0.04716432171027458*I, -0.15981644729583794 - 0.05323663187241725*I}","{0.1855610273077897, -0.2258791174776677 + 0.02474154190311451*I, -0.2258791174776677 - 0.02474154190311451*I, 0.8804513940610315}"
"{0.8109082401676936, 0.22855331475940924 - 0.023212809811778003*I, 0.22855331475940924 + 0.023212809811778003*I, 0.11139678793338133}","{0.2698070406763735 + 0.009637616552528976*I, 0.11788157019081197 - 0.10684248448057264*I, 0.13372264305849887 + 0.007000386577414027*I, -0.13786800938840651 + 0.026209645628939137*I}","{0.2698070406763735 - 0.009637616552528976*I, 0.13372264305849887 - 0.007000386577414027*I, 0.11788157019081197 + 0.10684248448057264*I, -0.13786800938840651 - 0.026209645628939137*I}","{0.1890917598319165, -0.22855331475891613 + 0.023212809811200073*I, -0.22855331475891613 - 0.023212809811200073*I, 0.8886032120738231}"
"{0.8113400172043663, 0.24286357122967292 - 0.03171790823399942*I, 0.24286357122967292 + 0.03171790823399942*I, 0.10922214437919729}","{0.2819393620286707 - 0.016276158186560204*I, -0.038039972243943676 - 0.1752086975391245*I, 0.12897739460924004 + 0.009772351432893732*I, -0.14380070252065805 - 0.00326302812762478*I}","{0.2819393620286707 + 0.016276158186560204*I, 0.12897739460924004 - 0.009772351432893732*I, -0.038039972243943676 + 0.1752086975391245*I, -0.14380070252065805 + 0.00326302812762478*I}","{0.188659982798225, -0.24286357122862623 + 0.03171790823019984*I, -0.24286357122862623 - 0.03171790823019984*I, 0.8907778556285137}"
"{0.8183752489362197, 0.2568242211949982 - 0.057553400683185714*I, 0.2568242211949982 + 0.057553400683185714*I, 0.11169020878020437}","{0.2878649681306551 - 0.056289955263263095*I, -0.22231936798155136 - 0.10295350756940524*I, 0.12339625253983927 + 0.014356165482431389*I, -0.17172487630415645 - 0.017794488032026323*I}","{0.2878649681306551 + 0.056289955263263095*I, 0.12339625253983927 - 0.014356165482431389*I, -0.22231936798155136 + 0.10295350756940524*I, -0.17172487630415645 + 0.017794488032026323*I}","{0.18162475107016882, -0.2568242211932653 + 0.05755340067997322*I, -0.2568242211932653 - 0.05755340067997322*I, 0.8883097912235604}"
"{0.8345246144445699, 0.2559536264494047 - 0.09831289014314239*I, 0.2559536264494047 + 0.09831289014314239*I, 0.11462333575931485}","{0.2763597399071162 - 0.1060951524858578*I, -0.3347260955533414 + 0.10600715190706886*I, 0.11367417152489484 + 0.019033285602520912*I, -0.20694968750795395 - 0.006921620387533814*I}","{0.2763597399071162 + 0.1060951524858578*I, 0.11367417152489484 - 0.019033285602520912*I, -0.3347260955533414 - 0.10600715190706886*I, -0.20694968750795395 + 0.006921620387533814*I}","{0.16547538556176417, -0.2559536264472495 + 0.09831289014328089*I, -0.2559536264472495 - 0.09831289014328089*I, 0.8853766642433119}"
"{0.8607188789872708, 0.22944491013111346 - 0.14165137137882222*I, 0.22944491013111346 + 0.14165137137882222*I, 0.11274062895740161}","{0.23896890926643077 - 0.15426976413240256*I, -0.288413354063086 + 0.3865997268052388*I, 0.09688861184815878 + 0.02131690364715743*I, -0.22897310370315876 + 0.029212335998337224*I}","{0.23896890926643077 + 0.15426976413240256*I, 0.09688861184815878 - 0.02131690364715743*I, -0.288413354063086 - 0.3865997268052388*I, -0.22897310370315876 - 0.029212335998337224*I}","{0.13928112101443949, -0.22944491012955998 + 0.14165137138119602*I, -0.22944491012955998 - 0.14165137138119602*I, 0.8872593710463057}"
