"t","valor esperado de Haar de la pureza de Choi"
0.,0.9999999999999998
0.5,0.9073747059303898
1.,0.7732218630367143
1.5,0.6461535972715391
2.,0.5441524502788708
2.5,0.46283928586041334
3.,0.4057050693451763
3.5,0.3703433502458221
4.,0.3490578801836091
4.5,0.3389642819928239
5.,0.3299220928107107
5.5,0.31925305414971084
6.,0.311213587683558
6.5,0.30586561356303116
7.,0.3019788252400434
7.5,0.2977718485826291
8.,0.294065632304591
8.5,0.29159158864519175
9.,0.2904418780190867
9.5,0.2897611291105483
10.,0.2893421360262408
10.5,0.2886494849068163
11.,0.28811190646678464
11.5,0.287875517944265
12.,0.28725744834899813
12.5,0.28616977231359
13.,0.28520694894961085
13.5,0.2847282897031521
14.,0.2844254943580138
14.5,0.28398324157691496
15.,0.2830872590446639
15.5,0.2818962657985309
16.,0.28101976538224954
16.5,0.28039784496947984
17.,0.2797735631150183
17.5,0.27927574332679805
18.,0.27898421765878356
18.5,0.27886448306880635
19.,0.2791422256561758
19.5,0.27940906771949836
20.,0.27966034329225314
20.5,0.2798377357795141
21.,0.2802486218039876
21.5,0.28088534742117566
22.,0.28099555146357613
22.5,0.280468346629185
23.,0.28010742577752423
23.5,0.2800610691920197
24.,0.28006690049813887
24.5,0.27959612741193646
25.,0.2795154049871172
25.5,0.27957930848929274
26.,0.2798750033290287
26.5,0.2800796940680138
27.,0.27982642213998515
27.5,0.2796299388716855
28.,0.2798494357412418
28.5,0.28059046086938166
29.,0.28151911038071353
29.5,0.28159328095153047
30.,0.2812911022725815
30.5,0.2808118981843176
31.,0.28047463851251125
31.5,0.2805360896890608
32.,0.2801339292765278
32.5,0.27963348529775045
33.,0.27913903311477317
33.5,0.2790120403650743
34.,0.2788260816119633
34.5,0.2784207983252679
35.,0.2783211065970843
35.5,0.2781945673128688
36.,0.2784240357167043
36.5,0.27833825567998316
37.,0.27794849723915793
37.5,0.27768223676085546
38.,0.2775479798892213
38.5,0.2775614789076266
39.,0.2775856256965378
39.5,0.2775513730970349
40.,0.27769500411759696
40.5,0.27788060527383895
41.,0.27831723927298047
41.5,0.2787200281947856
42.,0.279119464563353
42.5,0.2796317318780777
43.,0.279881102628373
43.5,0.28032837661761534
44.,0.2804944897466137
44.5,0.2804569514112889
45.,0.2802778865620572
45.5,0.2797000610880702
46.,0.27915371636263797
46.5,0.2786379470554684
47.,0.27828717818943516
47.5,0.2779736826596573
48.,0.27783151546008755
48.5,0.27815894080959114
49.,0.27889346407534044
49.5,0.2799230444132173
50.,0.28053644962291135
50.5,0.28061866667585333
51.,0.28057394205675434
51.5,0.28050328201720165
52.,0.2804220773859419
52.5,0.2803195695607825
53.,0.27994105258574614
53.5,0.27967083240514207
54.,0.279871076762215
54.5,0.28034112162545266
55.,0.2810534096531838
55.5,0.28173700297925885
56.,0.2824822293233567
56.5,0.2825937310324378
57.,0.28223934901011094
57.5,0.2823082964455654
58.,0.2822921022779976
58.5,0.2820738030005707
59.,0.2815902888581773
59.5,0.2813269082337875
60.,0.2812227266880317
60.5,0.28110899008571294
61.,0.28093570488520647
61.5,0.28030210975623976
62.,0.2796855921146654
62.5,0.27947950685496137
63.,0.2793941074628465
63.5,0.27881773988144753
64.,0.27823928545533716
64.5,0.2782435795675319
65.,0.2784543125790371
65.5,0.27843421385728745
66.,0.2787255163410107
66.5,0.2796157347445103
67.,0.2806540022258398
67.5,0.28154586885605315
68.,0.2817889014524106
68.5,0.2817169756279257
69.,0.2814410573360011
69.5,0.2813151871829622
70.,0.2811991564263049
70.5,0.2809509838377939
71.,0.28108079156522675
71.5,0.2812276205851294
72.,0.2814990803413015
72.5,0.2817937037901495
73.,0.2819290439484783
73.5,0.2814792305922928
74.,0.2804495587657149
74.5,0.2796972545781869
75.,0.27926825686982665
75.5,0.27906700414588526
76.,0.2790489996331666
76.5,0.2792132109023848
77.,0.27980825086495
77.5,0.2807036934977887
78.,0.28177921542846285
78.5,0.2821530786084824
79.,0.28213291429516046
79.5,0.2823949351575093
80.,0.2828000153016509
80.5,0.282743645143691
81.,0.28194168093866806
81.5,0.2814435507865135
82.,0.2812747390878936
82.5,0.28158498648709446
83.,0.28190047106231697
83.5,0.2817828864571693
84.,0.28235383470035946
84.5,0.283237248043117
85.,0.28403690269742776
85.5,0.28369096366481544
86.,0.28285195982412736
86.5,0.2822467540633192
87.,0.2813627874615132
87.5,0.28028485063836606
88.,0.27908322045476325
88.5,0.27788465443934784
89.,0.27701906726678516
89.5,0.27665998938714076
90.,0.27657468208443525
90.5,0.2765030791592341
91.,0.27636678972085726
91.5,0.27642971555555773
92.,0.27645599386795494
92.5,0.2766748654225313
93.,0.27690119136095753
93.5,0.2769195674739256
94.,0.27709110655353375
94.5,0.27724256173927364
95.,0.27764062839355175
95.5,0.27813083576156494
96.,0.27856630407647054
96.5,0.2790604528747454
97.,0.2794828003408054
97.5,0.27997388887275443
98.,0.2803518417898101
98.5,0.28100514483838235
99.,0.28160604463280714
99.5,0.2820379668596624
100.,0.2821599472628642
