"t","valor esperado de Haar de la pureza de Choi"
0.,1.
0.5,0.9887372642030622
1.,0.9686587346380177
1.5,0.9437541668800514
2.,0.9074313964702627
2.5,0.8687478618130604
3.,0.8256015006614561
3.5,0.7747241865688204
4.,0.723713411307931
4.5,0.6740086809600507
5.,0.6276139171596955
5.5,0.5843887454433779
6.,0.5433212605760493
6.5,0.5079679050775763
7.,0.4755415516628487
7.5,0.4460325528817558
8.,0.4229584502410608
8.5,0.4026896137059205
9.,0.38503147055905185
9.5,0.3715435889966698
10.,0.3599030338922822
10.5,0.35020313556063604
11.,0.3424239196006839
11.5,0.33584847667808876
12.,0.33045434383536354
12.5,0.32541372291568815
13.,0.3210350944211496
13.5,0.31727798562343534
14.,0.31349300993154033
14.5,0.3101347434790168
15.,0.3070713568978636
15.5,0.30412756304057625
16.,0.30143967715882497
16.5,0.2989956147044845
17.,0.2970286052842767
17.5,0.29532948409574167
18.,0.29403682227300487
18.5,0.2934417662182981
19.,0.2931764917635532
19.5,0.29356132288868164
20.,0.2947578799267669
20.5,0.2962969930622229
21.,0.2985066525343708
21.5,0.30133448574651317
22.,0.3041143658732819
22.5,0.3070623630744211
23.,0.3100287918543029
23.5,0.3121169345766617
24.,0.3135155691938294
24.5,0.3142772986636245
25.,0.31354941341518655
25.5,0.3118100341056008
26.,0.30957649619063665
26.5,0.3063115048624241
27.,0.3028390369565898
27.5,0.29990481060023794
28.,0.29709694379361434
28.5,0.2951033970357607
29.,0.29429343217801873
29.5,0.29405244327072666
30.,0.2946096378188151
30.5,0.2958302243675719
31.,0.2970618698256966
31.5,0.29837533918625814
32.,0.2996114800643714
32.5,0.30051389799382777
33.,0.30139454268451604
33.5,0.3023318310661511
34.,0.30339697116648967
34.5,0.3050142426501864
35.,0.3072373471759001
35.5,0.3100377626639504
36.,0.31367463184307764
36.5,0.31801147335618335
37.,0.32288260539974434
37.5,0.328519070752526
38.,0.3347887685688459
38.5,0.3415590723127132
39.,0.34908737000757767
39.5,0.35728561966955646
40.,0.3661082035957457
40.5,0.3757623353349394
41.,0.3860979414990794
41.5,0.39691854926006476
42.,0.40800419337323857
42.5,0.4191321973536989
43.,0.4303203546247148
43.5,0.4412485819336286
44.,0.4517064005722188
44.5,0.46156246067031526
45.,0.4699106665675607
45.5,0.4766403949256893
46.,0.48220449817130856
46.5,0.48585801595306577
47.,0.4875181268114952
47.5,0.4874617854733752
48.,0.48467288912051454
48.5,0.4793619804133322
49.,0.47252591267690847
49.5,0.4638172299117623
50.,0.4535535042290605
50.5,0.4424394396982037
51.,0.4302088957229496
51.5,0.4172846270284617
52.,0.4044180057916072
52.5,0.3917890779355781
53.,0.3798129422732088
53.5,0.3687450833567243
54.,0.3586512530591086
54.5,0.3497134707260225
55.,0.34181097847341607
55.5,0.3350201900023143
56.,0.3294442837950129
56.5,0.32471397805464103
57.,0.32074120661476013
57.5,0.3174868245890886
58.,0.3146628245014549
58.5,0.3123187139474568
59.,0.3104210620611151
59.5,0.3087650172901004
60.,0.3074089497564964
60.5,0.30631185895191865
61.,0.3053749778765968
61.5,0.3045948442418448
62.,0.30384300739866843
62.5,0.30304379907199963
63.,0.3021815458303969
63.5,0.3012098455014169
64.,0.30017966846694083
64.5,0.29914195228159934
65.,0.2981160121095593
65.5,0.2971502874442999
66.,0.2962644930672521
66.5,0.29549333340241296
67.,0.2949137032503333
67.5,0.29452310055796777
68.,0.29422509563721666
68.5,0.29397981240508697
69.,0.2937653649590055
69.5,0.2935179075166118
70.,0.2932306665157915
70.5,0.2928906025173361
71.,0.292473060426076
71.5,0.2919873865292089
72.,0.29142417407884924
72.5,0.290840362151634
73.,0.2902585479883103
73.5,0.28965384382254655
74.,0.28912163998107987
74.5,0.288682415249633
75.,0.2883405179428492
75.5,0.28818207517470773
76.,0.28817384352307907
76.5,0.2883326847397704
77.,0.28867460007969303
77.5,0.28914487627610796
78.,0.2898084055794717
78.5,0.29059402020004144
79.,0.2914316466604297
79.5,0.29241884924672956
80.,0.2934932403480608
80.5,0.29464986779067875
81.,0.29592665023749387
81.5,0.29724691502305145
82.,0.29865465159864113
82.5,0.3001199961273531
83.,0.30160473143619143
83.5,0.3031103857013886
84.,0.30445777985175854
84.5,0.30568802031478504
85.,0.3068838382389058
85.5,0.30791487331438383
86.,0.30886174674120664
86.5,0.3097470384284574
87.,0.3105085254880259
87.5,0.3112843541710197
88.,0.3120955909577482
88.5,0.31293916726935905
89.,0.3138568277963566
89.5,0.3148132995335157
90.,0.31585740061454104
90.5,0.3169522482908199
91.,0.3180004342443715
91.5,0.3189858265191116
92.,0.3197891196546028
92.5,0.32032912759648524
93.,0.3205929362152734
93.5,0.3204824917248865
94.,0.31991181388755274
94.5,0.3188510927588314
95.,0.3173512265308286
95.5,0.3154692410983403
96.,0.3132471102104391
96.5,0.31079695023055254
97.,0.3081636109110722
97.5,0.3054304817680167
98.,0.3027822258669862
98.5,0.30026420208842736
99.,0.29790731881275645
99.5,0.2957826979098925
100.,0.29389724615615986
