"t","valor esperado de Haar de la pureza de Choi"
0.,1.
0.5,0.9455931688591721
1.,0.8583959696583394
1.5,0.7554547099290669
2.,0.6397999705967249
2.5,0.5415975487312356
3.,0.4536587157293036
3.5,0.4015273600621466
4.,0.3665183515438821
4.5,0.34238852547114285
5.,0.3275419754201736
5.5,0.3157072740551646
6.,0.30896483034696515
6.5,0.3021415296464375
7.,0.2973745821720831
7.5,0.29408430804225855
8.,0.29519475859732325
8.5,0.29783862164919284
9.,0.30456173138768167
9.5,0.31376292088910984
10.,0.3155310578782459
10.5,0.31099309094843053
11.,0.3059891180751724
11.5,0.29892088926355875
12.,0.293998192388055
12.5,0.29726968742514137
13.,0.3015086355924955
13.5,0.30536978348028
14.,0.3095685964856795
14.5,0.31721121865145363
15.,0.33232282298473337
15.5,0.35308403273504807
16.,0.38077414720901726
16.5,0.42071640428424584
17.,0.4705731099052693
17.5,0.5253046556247052
18.,0.5834808678027865
18.5,0.6412685698588296
19.,0.6922924040611101
19.5,0.7087634967555883
20.,0.6917593075100394
20.5,0.6651362736705155
21.,0.6105967600939821
21.5,0.5395771381567072
22.,0.4759715359490091
22.5,0.42237604009424223
23.,0.39105630524124346
23.5,0.36700461079439795
24.,0.35216835031178373
24.5,0.35295193043345524
25.,0.3542040688968533
25.5,0.36059150486614794
26.,0.3573794620778697
26.5,0.3472669367939453
27.,0.34055117964394893
27.5,0.32965157934267164
28.,0.3253144692857014
28.5,0.3211792211142596
29.,0.31980863437467033
29.5,0.3217075912920366
30.,0.3231332273364852
30.5,0.32582418940717006
31.,0.32009251688617507
31.5,0.3188269288573784
32.,0.32248562379904955
32.5,0.335962932100767
33.,0.35632593387008105
33.5,0.37807344614061356
34.,0.41167589478426586
34.5,0.44792359756737854
35.,0.4902774196218767
35.5,0.5233584777736876
36.,0.5459520814978511
36.5,0.560997802893082
37.,0.5574803395768037
37.5,0.546742105157171
38.,0.5295127933041349
38.5,0.5045028388809656
39.,0.47557554113087797
39.5,0.45108189662023057
40.,0.42734802016355833
40.5,0.40224465922771135
41.,0.3788848830508431
41.5,0.35939302460668543
42.,0.344773661069918
42.5,0.3348452318773487
43.,0.32919902537363577
43.5,0.3323359872007353
44.,0.34528324057132165
44.5,0.35945693304290416
45.,0.37714956222782403
45.5,0.38362929337673224
46.,0.38816200727723804
46.5,0.38823607074212574
47.,0.3747808525387125
47.5,0.36637451168359825
48.,0.35328691850773636
48.5,0.35042858733852233
49.,0.3547724159295115
49.5,0.3618626192489678
50.,0.370925393131746
50.5,0.36903231857396823
51.,0.37088596378140837
51.5,0.37341129348208313
52.,0.3820047637889984
52.5,0.39261101574115265
53.,0.4130323657437598
53.5,0.45202089472222023
54.,0.49450394210477466
54.5,0.540421910978121
55.,0.5742258042228966
55.5,0.6027453667735474
56.,0.6149413800709921
56.5,0.5936596617506553
57.,0.5640675594554081
57.5,0.5250116659816564
58.,0.4794209009278314
58.5,0.43809283204286215
59.,0.3984666161982071
59.5,0.3692663813487758
60.,0.3468166319160136
60.5,0.32813628935174677
61.,0.3180009505953629
61.5,0.3114128689527238
62.,0.3098764923772236
62.5,0.3154058615382805
63.,0.3220343305176009
63.5,0.3268151191177856
64.,0.3278533563663809
64.5,0.32512199062345354
65.,0.32593058493146393
65.5,0.32893601521685467
66.,0.32622172169643787
66.5,0.3212274167250453
67.,0.31845915357434534
67.5,0.31739904341195535
68.,0.32207164913052483
68.5,0.3324148273688282
69.,0.3451387382410337
69.5,0.3609906046755979
70.,0.38003535549167794
70.5,0.4023220229588036
71.,0.41982932433872233
71.5,0.4252904633266103
72.,0.42979354020193505
72.5,0.43968000791173223
73.,0.45094746667457086
73.5,0.45792487882596944
74.,0.4678521102151221
74.5,0.48911625074087867
75.,0.5111379926621906
75.5,0.5235858921018847
76.,0.5196836038638242
76.5,0.5144805294198284
77.,0.49509419355660733
77.5,0.46218569624339734
78.,0.4359593741964104
78.5,0.40928621382433356
79.,0.400629126301032
79.5,0.3927870072860761
80.,0.39092827668381774
80.5,0.3976227231106852
81.,0.39465256009829164
81.5,0.40130212701239054
82.,0.39740505274377025
82.5,0.39318311168228204
83.,0.3894083985509051
83.5,0.3784205559262108
84.,0.3737160243242935
84.5,0.36424953743481264
85.,0.3574931923516639
85.5,0.35143667672250456
86.,0.3461611414737569
86.5,0.34316642818963505
87.,0.3407364624571258
87.5,0.34118782990016794
88.,0.3444444918183596
88.5,0.35102542610549725
89.,0.3613272915245866
89.5,0.3786511738554641
90.,0.3977893958698167
90.5,0.4137556340797782
91.,0.42481507704465027
91.5,0.4364518608286056
92.,0.44280943112604154
92.5,0.43897629122217824
93.,0.4330520831223018
93.5,0.4304238406811386
94.,0.42769050093569055
94.5,0.4165736223944072
95.,0.4039478448371208
95.5,0.3955118335846658
96.,0.3875047694161933
96.5,0.37062604056445514
97.,0.3509513730921414
97.5,0.33586493208135443
98.,0.3292806631406599
98.5,0.33135603949504017
99.,0.33412401624807414
99.5,0.34556372345800723
100.,0.3585737211869878
