hz,J,promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi
0.01,1.,0.417857
0.51,1.,0.301
1.01,1.,0.324849
1.51,1.,0.397069
2.01,1.,0.497614
2.51,1.,0.564855
3.01,1.,0.599017
