"hz","J","promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi"
0.,0.,1.
0.,0.1,0.528533
0.,0.2,0.525338
0.,0.3,0.524994
0.,0.4,0.521819
0.,0.5,0.526719
0.,0.6,0.525204
0.,0.7,0.510535
0.,0.8,0.511885
0.,0.9,0.508679
0.,1.,0.503938
0.,1.1,0.503202
0.,1.2,0.500456
0.,1.3,0.497458
0.,1.4,0.498193
0.,1.5,0.497417
0.,1.6,0.496305
0.,1.7,0.495314
0.,1.8,0.495286
0.,1.9,0.496157
0.,2.,0.498671
0.,2.1,0.501396
0.,2.2,0.496997
0.,2.3,0.504063
0.,2.4,0.497415
0.,2.5,0.505862
0.,2.6,0.520086
0.,2.7,0.498359
0.,2.8,0.503736
0.,2.9,0.536626
0.,3.,0.512297
0.1,0.,1.
0.1,0.1,0.528144
0.1,0.2,0.519918
0.1,0.3,0.512128
0.1,0.4,0.501555
0.1,0.5,0.492041
0.1,0.6,0.418418
0.1,0.7,0.415081
0.1,0.8,0.3986
0.1,0.9,0.390629
0.1,1.,0.392115
0.1,1.1,0.384426
0.1,1.2,0.382261
0.1,1.3,0.379094
0.1,1.4,0.378057
0.1,1.5,0.377441
0.1,1.6,0.376948
0.1,1.7,0.377837
0.1,1.8,0.379713
0.1,1.9,0.38543
0.1,2.,0.389258
0.1,2.1,0.393293
0.1,2.2,0.400623
0.1,2.3,0.406441
0.1,2.4,0.402928
0.1,2.5,0.407582
0.1,2.6,0.420533
0.1,2.7,0.425247
0.1,2.8,0.434315
0.1,2.9,0.438949
0.1,3.,0.429935
0.2,0.,1.
0.2,0.1,0.51862
0.2,0.2,0.479072
0.2,0.3,0.450423
0.2,0.4,0.435089
0.2,0.5,0.422311
0.2,0.6,0.390806
0.2,0.7,0.385289
0.2,0.8,0.380159
0.2,0.9,0.377751
0.2,1.,0.376828
0.2,1.1,0.371922
0.2,1.2,0.370709
0.2,1.3,0.370809
0.2,1.4,0.372802
0.2,1.5,0.371465
0.2,1.6,0.375475
0.2,1.7,0.375918
0.2,1.8,0.380817
0.2,1.9,0.386132
0.2,2.,0.391527
0.2,2.1,0.397501
0.2,2.2,0.407528
0.2,2.3,0.410075
0.2,2.4,0.407857
0.2,2.5,0.413063
0.2,2.6,0.420406
0.2,2.7,0.43034
0.2,2.8,0.436125
0.2,2.9,0.43609
0.2,3.,0.426964
0.3,0.,1.
0.3,0.1,0.487911
0.3,0.2,0.435102
0.3,0.3,0.417158
0.3,0.4,0.407268
0.3,0.5,0.400463
0.3,0.6,0.388883
0.3,0.7,0.381077
0.3,0.8,0.378444
0.3,0.9,0.378142
0.3,1.,0.375431
0.3,1.1,0.368448
0.3,1.2,0.369654
0.3,1.3,0.370628
0.3,1.4,0.371767
0.3,1.5,0.37507
0.3,1.6,0.379177
0.3,1.7,0.383184
0.3,1.8,0.386167
0.3,1.9,0.391429
0.3,2.,0.400024
0.3,2.1,0.396232
0.3,2.2,0.400058
0.3,2.3,0.405887
0.3,2.4,0.408976
0.3,2.5,0.41265
0.3,2.6,0.418388
0.3,2.7,0.423764
0.3,2.8,0.424216
0.3,2.9,0.423242
0.3,3.,0.41838
0.4,0.,1.
0.4,0.1,0.451639
0.4,0.2,0.41367
0.4,0.3,0.407747
0.4,0.4,0.397874
0.4,0.5,0.39368
0.4,0.6,0.386255
0.4,0.7,0.378448
0.4,0.8,0.376613
0.4,0.9,0.377646
0.4,1.,0.37178
0.4,1.1,0.37139
0.4,1.2,0.372836
0.4,1.3,0.3702
0.4,1.4,0.372381
0.4,1.5,0.37686
0.4,1.6,0.381055
0.4,1.7,0.382854
0.4,1.8,0.388603
0.4,1.9,0.395122
0.4,2.,0.399941
0.4,2.1,0.399144
0.4,2.2,0.405705
0.4,2.3,0.410004
0.4,2.4,0.407142
0.4,2.5,0.406817
0.4,2.6,0.410132
0.4,2.7,0.41489
0.4,2.8,0.419469
0.4,2.9,0.420715
0.4,3.,0.419848
0.5,0.,1.
0.5,0.1,0.429532
0.5,0.2,0.413578
0.5,0.3,0.4051
0.5,0.4,0.403053
0.5,0.5,0.389728
0.5,0.6,0.393044
0.5,0.7,0.381192
0.5,0.8,0.37656
0.5,0.9,0.375305
0.5,1.,0.376152
0.5,1.1,0.369709
0.5,1.2,0.37247
0.5,1.3,0.370479
0.5,1.4,0.373031
0.5,1.5,0.374682
0.5,1.6,0.37911
0.5,1.7,0.385353
0.5,1.8,0.388928
0.5,1.9,0.390789
0.5,2.,0.393849
0.5,2.1,0.397796
0.5,2.2,0.402138
0.5,2.3,0.408829
0.5,2.4,0.410976
0.5,2.5,0.410978
0.5,2.6,0.415289
0.5,2.7,0.420834
0.5,2.8,0.424632
0.5,2.9,0.428992
0.5,3.,0.428603
0.6,0.,1.
0.6,0.1,0.436868
0.6,0.2,0.422128
0.6,0.3,0.400603
0.6,0.4,0.394422
0.6,0.5,0.388606
0.6,0.6,0.383184
0.6,0.7,0.380533
0.6,0.8,0.377157
0.6,0.9,0.373949
0.6,1.,0.372628
0.6,1.1,0.371331
0.6,1.2,0.371523
0.6,1.3,0.370742
0.6,1.4,0.373104
0.6,1.5,0.37391
0.6,1.6,0.382299
0.6,1.7,0.392953
0.6,1.8,0.398188
0.6,1.9,0.404427
0.6,2.,0.40815
0.6,2.1,0.412398
0.6,2.2,0.417588
0.6,2.3,0.424198
0.6,2.4,0.428998
0.6,2.5,0.423661
0.6,2.6,0.42346
0.6,2.7,0.429183
0.6,2.8,0.433943
0.6,2.9,0.438886
0.6,3.,0.437551
0.7,0.,1.
0.7,0.1,0.458267
0.7,0.2,0.430018
0.7,0.3,0.405002
0.7,0.4,0.397614
0.7,0.5,0.390132
0.7,0.6,0.386957
0.7,0.7,0.382838
0.7,0.8,0.379052
0.7,0.9,0.377301
0.7,1.,0.375226
0.7,1.1,0.37291
0.7,1.2,0.370165
0.7,1.3,0.371967
0.7,1.4,0.373609
0.7,1.5,0.374257
0.7,1.6,0.376402
0.7,1.7,0.382986
0.7,1.8,0.387726
0.7,1.9,0.385598
0.7,2.,0.389155
0.7,2.1,0.39372
0.7,2.2,0.398291
0.7,2.3,0.407616
0.7,2.4,0.412534
0.7,2.5,0.4199
0.7,2.6,0.421574
0.7,2.7,0.428782
0.7,2.8,0.439883
0.7,2.9,0.446415
0.7,3.,0.446748
0.8,0.,1.
0.8,0.1,0.446102
0.8,0.2,0.420007
0.8,0.3,0.408149
0.8,0.4,0.397733
0.8,0.5,0.397049
0.8,0.6,0.391152
0.8,0.7,0.386293
0.8,0.8,0.380236
0.8,0.9,0.376604
0.8,1.,0.376805
0.8,1.1,0.377278
0.8,1.2,0.370582
0.8,1.3,0.375765
0.8,1.4,0.375353
0.8,1.5,0.377657
0.8,1.6,0.379903
0.8,1.7,0.378995
0.8,1.8,0.38074
0.8,1.9,0.382721
0.8,2.,0.38536
0.8,2.1,0.388394
0.8,2.2,0.391165
0.8,2.3,0.392272
0.8,2.4,0.395338
0.8,2.5,0.400458
0.8,2.6,0.405485
0.8,2.7,0.414541
0.8,2.8,0.424276
0.8,2.9,0.435285
0.8,3.,0.442471
0.9,0.,1.
0.9,0.1,0.445308
0.9,0.2,0.40694
0.9,0.3,0.400077
0.9,0.4,0.398073
0.9,0.5,0.399276
0.9,0.6,0.394279
0.9,0.7,0.38869
0.9,0.8,0.3844
0.9,0.9,0.380365
0.9,1.,0.38205
0.9,1.1,0.376905
0.9,1.2,0.381643
0.9,1.3,0.379722
0.9,1.4,0.380514
0.9,1.5,0.384553
0.9,1.6,0.390492
0.9,1.7,0.389835
0.9,1.8,0.392426
0.9,1.9,0.394106
0.9,2.,0.395585
0.9,2.1,0.396624
0.9,2.2,0.397292
0.9,2.3,0.396562
0.9,2.4,0.398362
0.9,2.5,0.398661
0.9,2.6,0.401016
0.9,2.7,0.403195
0.9,2.8,0.411263
0.9,2.9,0.416654
0.9,3.,0.42838
1.,0.,1.
1.,0.1,0.462888
1.,0.2,0.420469
1.,0.3,0.404377
1.,0.4,0.398357
1.,0.5,0.390635
1.,0.6,0.391066
1.,0.7,0.3862
1.,0.8,0.382767
1.,0.9,0.383965
1.,1.,0.379001
1.,1.1,0.375673
1.,1.2,0.375017
1.,1.3,0.373438
1.,1.4,0.379963
1.,1.5,0.383992
1.,1.6,0.38464
1.,1.7,0.381991
1.,1.8,0.383828
1.,1.9,0.385964
1.,2.,0.387169
1.,2.1,0.38878
1.,2.2,0.400545
1.,2.3,0.409965
1.,2.4,0.417561
1.,2.5,0.414099
1.,2.6,0.4111
1.,2.7,0.413926
1.,2.8,0.413062
1.,2.9,0.41639
1.,3.,0.416192
1.1,0.,1.
1.1,0.1,0.487175
1.1,0.2,0.443483
1.1,0.3,0.426913
1.1,0.4,0.416211
