"hz","J","promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi"
0.,0.,1.
0.,0.1,0.637216
0.,0.2,0.607276
0.,0.3,0.598952
0.,0.4,0.59949
0.,0.5,0.597724
0.,0.6,0.588065
0.,0.7,0.589816
0.,0.8,0.58668
0.,0.9,0.583596
0.,1.,0.579716
0.,1.1,0.578157
0.,1.2,0.575462
0.,1.3,0.572212
0.,1.4,0.570067
0.,1.5,0.570005
0.,1.6,0.569409
0.,1.7,0.56806
0.,1.8,0.567748
0.,1.9,0.56847
0.,2.,0.567612
0.,2.1,0.567629
0.,2.2,0.565923
0.,2.3,0.567556
0.,2.4,0.569141
0.,2.5,0.566498
0.,2.6,0.569268
0.,2.7,0.567328
0.,2.8,0.570351
0.,2.9,0.563202
0.,3.,0.572876
0.1,0.,1.
0.1,0.1,0.636127
0.1,0.2,0.603384
0.1,0.3,0.583851
0.1,0.4,0.572853
0.1,0.5,0.551047
0.1,0.6,0.530232
0.1,0.7,0.511829
0.1,0.8,0.485855
0.1,0.9,0.456271
0.1,1.,0.46622
0.1,1.1,0.47718
0.1,1.2,0.480578
0.1,1.3,0.47827
0.1,1.4,0.473568
0.1,1.5,0.470101
0.1,1.6,0.464899
0.1,1.7,0.459992
0.1,1.8,0.45757
0.1,1.9,0.454611
0.1,2.,0.453731
0.1,2.1,0.451648
0.1,2.2,0.454655
0.1,2.3,0.453462
0.1,2.4,0.456912
0.1,2.5,0.459426
0.1,2.6,0.459475
0.1,2.7,0.458616
0.1,2.8,0.462624
0.1,2.9,0.465603
0.1,3.,0.471061
0.2,0.,1.
0.2,0.1,0.612501
0.2,0.2,0.553444
0.2,0.3,0.514952
0.2,0.4,0.497068
0.2,0.5,0.484351
0.2,0.6,0.478116
0.2,0.7,0.47484
0.2,0.8,0.4691
0.2,0.9,0.463974
0.2,1.,0.458597
0.2,1.1,0.461976
0.2,1.2,0.460698
0.2,1.3,0.459761
0.2,1.4,0.459822
0.2,1.5,0.463143
0.2,1.6,0.461219
0.2,1.7,0.458835
0.2,1.8,0.459558
0.2,1.9,0.458853
0.2,2.,0.46557
0.2,2.1,0.465942
0.2,2.2,0.475269
0.2,2.3,0.465539
0.2,2.4,0.468671
0.2,2.5,0.474425
0.2,2.6,0.471903
0.2,2.7,0.471607
0.2,2.8,0.477153
0.2,2.9,0.483201
0.2,3.,0.484374
0.3,0.,1.
0.3,0.1,0.557826
0.3,0.2,0.507301
0.3,0.3,0.494007
0.3,0.4,0.491996
0.3,0.5,0.481621
0.3,0.6,0.470211
0.3,0.7,0.4659
0.3,0.8,0.460568
0.3,0.9,0.463283
0.3,1.,0.458341
0.3,1.1,0.456956
0.3,1.2,0.457058
0.3,1.3,0.457588
0.3,1.4,0.458626
0.3,1.5,0.4592
0.3,1.6,0.460434
0.3,1.7,0.464229
0.3,1.8,0.465938
0.3,1.9,0.466069
0.3,2.,0.46968
0.3,2.1,0.469951
0.3,2.2,0.476516
0.3,2.3,0.472122
0.3,2.4,0.477225
0.3,2.5,0.487412
0.3,2.6,0.482659
0.3,2.7,0.481084
0.3,2.8,0.485257
0.3,2.9,0.491922
0.3,3.,0.492331
0.4,0.,1.
0.4,0.1,0.517219
0.4,0.2,0.496629
0.4,0.3,0.487268
0.4,0.4,0.501438
0.4,0.5,0.484514
0.4,0.6,0.469823
0.4,0.7,0.470982
0.4,0.8,0.463606
0.4,0.9,0.462386
0.4,1.,0.456006
0.4,1.1,0.461449
0.4,1.2,0.457686
0.4,1.3,0.460302
0.4,1.4,0.458259
0.4,1.5,0.458781
0.4,1.6,0.460597
0.4,1.7,0.464334
0.4,1.8,0.467614
0.4,1.9,0.469479
0.4,2.,0.473047
0.4,2.1,0.474516
0.4,2.2,0.479979
0.4,2.3,0.477829
0.4,2.4,0.483296
0.4,2.5,0.488573
0.4,2.6,0.484681
0.4,2.7,0.485508
0.4,2.8,0.492364
0.4,2.9,0.497402
0.4,3.,0.49477
0.5,0.,1.
0.5,0.1,0.497076
0.5,0.2,0.497442
0.5,0.3,0.481785
0.5,0.4,0.483364
0.5,0.5,0.494291
0.5,0.6,0.47058
0.5,0.7,0.474143
0.5,0.8,0.466891
0.5,0.9,0.461984
0.5,1.,0.457579
0.5,1.1,0.456631
0.5,1.2,0.464623
0.5,1.3,0.457872
0.5,1.4,0.461694
0.5,1.5,0.464155
0.5,1.6,0.462476
0.5,1.7,0.468201
0.5,1.8,0.466893
0.5,1.9,0.472077
0.5,2.,0.47403
0.5,2.1,0.476584
0.5,2.2,0.481296
0.5,2.3,0.482618
0.5,2.4,0.486588
0.5,2.5,0.491194
0.5,2.6,0.488021
0.5,2.7,0.496879
0.5,2.8,0.497144
0.5,2.9,0.501024
0.5,3.,0.495337
0.6,0.,1.
0.6,0.1,0.523483
0.6,0.2,0.501376
0.6,0.3,0.49147
0.6,0.4,0.472936
0.6,0.5,0.476496
0.6,0.6,0.476513
0.6,0.7,0.464931
