hz,J,promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi
0.,0.,1.
0.,0.1,0.491607
0.,0.2,0.491713
0.,0.3,0.475829
0.,0.4,0.470807
0.,0.5,0.480173
0.,0.6,0.467888
0.,0.7,0.469478
0.,0.8,0.464799
0.,0.9,0.462684
0.,1.,0.457496
0.,1.1,0.453497
0.,1.2,0.453765
0.,1.3,0.448826
0.,1.4,0.452666
0.,1.5,0.451601
0.,1.6,0.453632
0.,1.7,0.45503
0.,1.8,0.458107
0.,1.9,0.45648
0.,2.,0.459125
0.,2.1,0.459078
0.,2.2,0.467425
0.,2.3,0.457289
0.,2.4,0.460535
0.,2.5,0.476972
0.,2.6,0.482168
0.,2.7,0.471729
0.,2.8,0.457791
0.,2.9,0.448619
0.,3.,0.448022
0.1,0.,1.
0.1,0.1,0.492095
0.1,0.2,0.487313
0.1,0.3,0.466664
0.1,0.4,0.452161
0.1,0.5,0.417883
0.1,0.6,0.380555
0.1,0.7,0.361107
0.1,0.8,0.356692
0.1,0.9,0.341934
0.1,1.,0.339392
0.1,1.1,0.336872
0.1,1.2,0.334797
0.1,1.3,0.332985
0.1,1.4,0.33266
0.1,1.5,0.332701
0.1,1.6,0.335706
0.1,1.7,0.342079
0.1,1.8,0.350508
0.1,1.9,0.354195
0.1,2.,0.365491
0.1,2.1,0.377442
0.1,2.2,0.378123
0.1,2.3,0.371134
0.1,2.4,0.371259
0.1,2.5,0.378255
0.1,2.6,0.386949
0.1,2.7,0.3952
0.1,2.8,0.403607
0.1,2.9,0.415148
0.1,3.,0.425614
0.2,0.,1.
0.2,0.1,0.484404
0.2,0.2,0.44545
0.2,0.3,0.412073
0.2,0.4,0.390985
0.2,0.5,0.362064
0.2,0.6,0.345603
0.2,0.7,0.3353
0.2,0.8,0.331433
0.2,0.9,0.328546
0.2,1.,0.324521
0.2,1.1,0.323531
0.2,1.2,0.322265
0.2,1.3,0.322167
0.2,1.4,0.325865
0.2,1.5,0.330642
0.2,1.6,0.337593
0.2,1.7,0.339138
0.2,1.8,0.347599
0.2,1.9,0.349584
0.2,2.,0.356232
0.2,2.1,0.361523
0.2,2.2,0.361543
0.2,2.3,0.361085
0.2,2.4,0.366637
0.2,2.5,0.375838
0.2,2.6,0.386439
0.2,2.7,0.396842
0.2,2.8,0.408193
0.2,2.9,0.420854
0.2,3.,0.433117
0.3,0.,1.
0.3,0.1,0.454346
0.3,0.2,0.396863
0.3,0.3,0.374757
0.3,0.4,0.362006
0.3,0.5,0.349144
0.3,0.6,0.337878
0.3,0.7,0.330549
0.3,0.8,0.325412
0.3,0.9,0.322681
0.3,1.,0.322746
0.3,1.1,0.321435
0.3,1.2,0.320713
0.3,1.3,0.321258
0.3,1.4,0.32283
0.3,1.5,0.327804
0.3,1.6,0.334587
0.3,1.7,0.343944
0.3,1.8,0.352629
0.3,1.9,0.355207
0.3,2.,0.362998
0.3,2.1,0.374008
0.3,2.2,0.379395
0.3,2.3,0.378387
0.3,2.4,0.380794
0.3,2.5,0.387651
0.3,2.6,0.397708
0.3,2.7,0.408918
0.3,2.8,0.419759
0.3,2.9,0.432376
0.3,3.,0.44463
0.4,0.,1.
0.4,0.1,0.415884
0.4,0.2,0.372373
0.4,0.3,0.358043
0.4,0.4,0.353584
0.4,0.5,0.341456
0.4,0.6,0.334171
