"hz","J","promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi"
0.,0.,1.
0.,0.1,0.45859341563268613
0.,0.2,0.43187434633978555
0.,0.30000000000000004,0.42227430101812297
0.,0.4,0.41940136791022326
0.,0.5,0.4165949415740603
0.,0.6000000000000001,0.4182293945728134
0.,0.7000000000000001,0.40954387095454314
0.,0.8,0.40699240210081594
0.,0.9,0.40537213344433864
0.,1.,0.3985297890408849
0.,1.1,0.3987362469850764
0.,1.2000000000000002,0.3963107137517444
0.,1.3,0.39602932233139193
0.,1.4000000000000001,0.4004030408827604
0.,1.5,0.40563073504805164
0.,1.6,0.4108807129352688
0.,1.7000000000000002,0.40317317337412617
0.,1.8,0.4212338315762047
0.,1.9000000000000001,0.41292518934812017
0.,2.,0.40086502653740785
0.,2.1,0.4112204852964224
0.,2.2,0.43644663127036143
0.,2.3000000000000003,0.466160803613481
0.,2.4000000000000004,0.4903678360242071
0.,2.5,0.504705700686081
0.,2.6,0.5191226304833083
0.,2.7,0.53039394421586
0.,2.8,0.5374504149696686
0.,2.9,0.5454100740653489
0.,3.,0.5501208209302045
0.1,0.,1.
0.1,0.1,0.457706245253547
0.1,0.2,0.42997923652069764
0.1,0.30000000000000004,0.4170982693062028
0.1,0.4,0.4068720203762649
0.1,0.5,0.3622668749580233
0.1,0.6000000000000001,0.3303206376532604
0.1,0.7000000000000001,0.3066226858002629
0.1,0.8,0.303873597913833
0.1,0.9,0.2942624771202687
0.1,1.,0.2888708071872829
0.1,1.1,0.2874551425601817
0.1,1.2000000000000002,0.28615331032651214
0.1,1.3,0.2862525592974068
0.1,1.4000000000000001,0.2908100049001545
0.1,1.5,0.2979716044606624
0.1,1.6,0.3097613994315041
0.1,1.7000000000000002,0.3167244210931193
0.1,1.8,0.330149165900318
0.1,1.9000000000000001,0.34837743789051856
0.1,2.,0.36866782862786324
0.1,2.1,0.390083824787752
0.1,2.2,0.4095904694492506
0.1,2.3000000000000003,0.4261238562854483
0.1,2.4000000000000004,0.4393300987884172
0.1,2.5,0.44933281365425
0.1,2.6,0.45751692127669663
0.1,2.7,0.4640839693376588
0.1,2.8,0.46903560903657837
0.1,2.9,0.4733410727613363
0.1,3.,0.47702625450800734
0.2,0.,1.
0.2,0.1,0.4448926925237825
0.2,0.2,0.4033612838173862
0.2,0.30000000000000004,0.3730726675635669
0.2,0.4,0.3493900735883495
0.2,0.5,0.3176590398698876
0.2,0.6000000000000001,0.2985326088694043
0.2,0.7000000000000001,0.2896093614978405
0.2,0.8,0.28619513017161774
0.2,0.9,0.28287358146886915
0.2,1.,0.2805115045518717
0.2,1.1,0.278921849010238
0.2,1.2000000000000002,0.27894291783585573
0.2,1.3,0.2813646193932382
0.2,1.4000000000000001,0.2865030115511985
0.2,1.5,0.2936279914748673
0.2,1.6,0.30496083977116845
0.2,1.7000000000000002,0.3181789600145165
0.2,1.8,0.33207501367101244
0.2,1.9000000000000001,0.35206257335045743
0.2,2.,0.3742314059000593
0.2,2.1,0.3944419240390391
0.2,2.2,0.4112501602029538
0.2,2.3000000000000003,0.4280884079745058
0.2,2.4000000000000004,0.4395290613505347
0.2,2.5,0.4484785344464896
0.2,2.6,0.4556075360677076
0.2,2.7,0.4613489330190511
0.2,2.8,0.4662339248568293
0.2,2.9,0.4703802817219957
0.2,3.,0.47377439680914357
0.30000000000000004,0.,1.
0.30000000000000004,0.1,0.4097748900060181
0.30000000000000004,0.2,0.3601093423139913
0.30000000000000004,0.30000000000000004,0.33469737980145847
0.30000000000000004,0.4,0.318257975159386
