hz,promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi
3.99487,0.659935
3.99487,0.584782
3.99487,0.397708
4.12051,0.635621
4.12051,0.585241
4.12051,0.462987
4.12051,0.518922
4.12051,0.737732
4.12051,0.510927
4.12051,0.572984
4.12051,0.524491
4.12051,0.41643
4.12051,0.467498
4.24615,0.56743
4.24615,0.700637
4.24615,0.566219
4.24615,0.387294
4.24615,0.601506
4.24615,0.508433
4.24615,0.477353
4.24615,0.533486
4.24615,0.658046
4.24615,0.488427
4.37179,0.790924
4.37179,0.656254
4.37179,0.591155
4.37179,0.714055
4.37179,0.449897
4.37179,0.634427
4.37179,0.616329
4.37179,0.77143
4.37179,0.512856
4.37179,0.401654
4.49744,0.501937
4.49744,0.376215
4.49744,0.641828
4.49744,0.440886
4.49744,0.613033
4.49744,0.520097
4.49744,0.798606
4.49744,0.566153
4.49744,0.510831
4.49744,0.565481
4.62308,0.521497
4.62308,0.547846
4.62308,0.608298
4.62308,0.802007
4.62308,0.551618
4.62308,0.544624
4.62308,0.512453
4.62308,0.658288
4.62308,0.477306
4.62308,0.616203
4.74872,0.392436
4.74872,0.385359
4.74872,0.636686
4.74872,0.652605
4.74872,0.568032
4.74872,0.628914
4.74872,0.640765
4.74872,0.614118
4.74872,0.459058
4.74872,0.380265
4.87436,0.476074
4.87436,0.591358
4.87436,0.427666
4.87436,0.754135
4.87436,0.558363
4.87436,0.581237
4.87436,0.808127
4.87436,0.627911
4.87436,0.640972
4.87436,0.514354
5.,0.418765
5.,0.6217
5.,0.619737
5.,0.628834
5.,0.742041
5.,0.638532
5.,0.646591
5.,0.624546
5.,0.581959
5.,0.628536
0.1,0.326003
0.225641,0.308689
0.351282,0.307678
0.476923,0.304777
0.602564,0.306501
0.728205,0.318029
0.853846,0.334223
0.979487,0.350904
1.10513,0.357492
1.23077,0.389272
1.35641,0.383227
1.48205,0.385651
1.60769,0.428345
1.73333,0.426245
1.85897,0.456348
1.98462,0.523702
2.11026,0.531483
2.2359,0.375375
2.36154,0.513882
2.48718,0.519784
2.61282,0.574124
2.73846,0.509503
2.8641,0.502806
2.98974,0.589267
3.11538,0.402203
3.24103,0.400672
3.36667,0.59633
3.49231,0.394932
3.61795,0.485223
3.74359,0.641538
3.86923,0.403799
3.99487,0.550958
4.12051,0.398377
4.24615,0.54803
4.37179,0.618085
4.49744,0.490618
4.62308,0.72064
4.74872,0.585187
4.87436,0.613624
5.,0.744271
0.1,0.318576
0.225641,0.309163
0.351282,0.306439
0.476923,0.309709
0.602564,0.310226
