"\varepsilon","J_{xy}","promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi"
0.,0.,0.8324930841941948
0.1,0.,0.832493084194195
0.2,0.,0.832493084194195
0.30000000000000004,0.,0.8324930841941948
0.4,0.,0.8324930841941948
0.5,0.,0.8324930841941948
0.6000000000000001,0.,0.832493084194195
0.7000000000000001,0.,0.832493084194195
0.8,0.,0.8324930841941948
0.9,0.,0.8324930841941948
1.,0.,0.8324930841941948
1.1,0.,0.8324930841941948
1.2000000000000002,0.,0.8324930841941948
1.3,0.,0.832493084194195
1.4000000000000001,0.,0.832493084194195
1.5,0.,0.832493084194195
1.6,0.,0.8324930841941951
1.7000000000000002,0.,0.8324930841941948
1.8,0.,0.832493084194195
1.9000000000000001,0.,0.8324930841941952
2.,0.,0.8324930841941948
0.,0.1,0.6114984644390057
0.1,0.1,0.6248169756793248
0.2,0.1,0.6420975823496423
0.30000000000000004,0.1,0.6460567819273922
0.4,0.1,0.6444082213317855
0.5,0.1,0.6252721147128883
0.6000000000000001,0.1,0.6442628777006428
0.7000000000000001,0.1,0.6494036041279264
0.8,0.1,0.6495164410488679
0.9,0.1,0.64573573433727
1.,0.1,0.6309275440717345
1.1,0.1,0.6311629220090148
1.2000000000000002,0.1,0.641164062421718
1.3,0.1,0.6448512786476647
1.4000000000000001,0.1,0.6464781031891687
1.5,0.1,0.6473563263460566
1.6,0.1,0.6478941517144093
1.7000000000000002,0.1,0.6482540637254867
1.8,0.1,0.6485097525918206
1.9000000000000001,0.1,0.6486998354447409
2.,0.1,0.648846052911631
0.,0.2,0.5382397515066952
0.1,0.2,0.5407210580618925
0.2,0.2,0.5602126110906955
0.30000000000000004,0.2,0.5672406283881563
0.4,0.2,0.5362200928675875
0.5,0.2,0.5325767879482529
0.6000000000000001,0.2,0.546666307134308
0.7000000000000001,0.2,0.5838476839284282
0.8,0.2,0.5935919417477548
0.9,0.2,0.5896073856859376
1.,0.2,0.5837332176538167
1.1,0.2,0.5933198115027178
1.2000000000000002,0.2,0.5964407944913137
1.3,0.2,0.608826979419312
1.4000000000000001,0.2,0.6186205412332936
1.5,0.2,0.624987441486391
1.6,0.2,0.6291069525327477
1.7000000000000002,0.2,0.6318653132121386
1.8,0.2,0.6337850672732008
1.9000000000000001,0.2,0.635169982412562
2.,0.2,0.6362013922610266
0.,0.30000000000000004,0.4353633215443911
0.1,0.30000000000000004,0.45163038338312406
0.2,0.30000000000000004,0.45836000812359595
0.30000000000000004,0.30000000000000004,0.45621101718727247
0.4,0.30000000000000004,0.44060385911707334
0.5,0.30000000000000004,0.4491434453989135
0.6000000000000001,0.30000000000000004,0.46809923804309317
0.7000000000000001,0.30000000000000004,0.47564803505127123
0.8,0.30000000000000004,0.49338987682618185
0.9,0.30000000000000004,0.5103716083415079
1.,0.30000000000000004,0.5222454086658855
1.1,0.30000000000000004,0.5294062011517785
1.2000000000000002,0.30000000000000004,0.5366345916080973
1.3,0.30000000000000004,0.5417074595255669
1.4000000000000001,0.30000000000000004,0.5500425999487881
1.5,0.30000000000000004,0.5582430389103036
1.6,0.30000000000000004,0.5649327308533052
1.7000000000000002,0.30000000000000004,0.57020184032131
1.8,0.30000000000000004,0.5743687783084296
1.9000000000000001,0.30000000000000004,0.5776767614290489
2.,0.30000000000000004,0.5803391166781806
0.,0.4,0.3775626340679416
0.1,0.4,0.3869263609493735
0.2,0.4,0.38901247036458225
0.30000000000000004,0.4,0.38570126640480995
0.4,0.4,0.37740561140088175
0.5,0.4,0.38372215517509745
0.6000000000000001,0.4,0.40114775691831767
0.7000000000000001,0.4,0.4102075448124032
0.8,0.4,0.4169239308947706
0.9,0.4,0.4237469647582096
1.,0.4,0.4435592134668106
1.1,0.4,0.45913528544089816
1.2000000000000002,0.4,0.47076851368464767
1.3,0.4,0.47789590221948763
1.4000000000000001,0.4,0.4860970560785428
1.5,0.4,0.4929561097711508
1.6,0.4,0.49976093723503073
1.7000000000000002,0.4,0.5057687491065258
1.8,0.4,0.5108842167758848
1.9000000000000001,0.4,0.5152169651274362
2.,0.4,0.5187688650180733
0.,0.5,0.3409620342929507
0.1,0.5,0.35059368433214305
0.2,0.5,0.349625422481109
0.30000000000000004,0.5,0.34495094590252234
0.4,0.5,0.33697168836804103
0.5,0.5,0.3397595631019923
0.6000000000000001,0.5,0.3532790163271771
0.7000000000000001,0.5,0.3594751952782937
0.8,0.5,0.36752542037021124
0.9,0.5,0.3782752431098374
1.,0.5,0.3841735963231145
1.1,0.5,0.3955857195714496
1.2000000000000002,0.5,0.4076835446818307
1.3,0.5,0.417473959335803
1.4000000000000001,0.5,0.42548786587318155
1.5,0.5,0.4342178785153237
1.6,0.5,0.44197883957191963
1.7000000000000002,0.5,0.44907888254150136
1.8,0.5,0.45542582042909174
1.9000000000000001,0.5,0.46108814895647166
2.,0.5,0.4662876851156228
0.,0.6000000000000001,0.32100288942098554
0.1,0.6000000000000001,0.32254049436830357
0.2,0.6000000000000001,0.3220540435236841
0.30000000000000004,0.6000000000000001,0.319472143952462
0.4,0.6000000000000001,0.3179076274828172
0.5,0.6000000000000001,0.3184819106309868
0.6000000000000001,0.6000000000000001,0.32336496697858635
0.7000000000000001,0.6000000000000001,0.33001680083584795
0.8,0.6000000000000001,0.3361152913296586
0.9,0.6000000000000001,0.3439528616991915
1.,0.6000000000000001,0.3522346083472609
1.1,0.6000000000000001,0.35612587097032744
1.2000000000000002,0.6000000000000001,0.3620565075221228
1.3,0.6000000000000001,0.37333836912800766
1.4000000000000001,0.6000000000000001,0.3835866065162895
1.5,0.6000000000000001,0.39117306278238034
1.6,0.6000000000000001,0.3982202101713977
1.7000000000000002,0.6000000000000001,0.4047381985654815
1.8,0.6000000000000001,0.41046827201252234
1.9000000000000001,0.6000000000000001,0.4155752489625723
2.,0.6000000000000001,0.42048419693176114
0.,0.7000000000000001,0.3087949759217788
0.1,0.7000000000000001,0.30773619565657356
0.2,0.7000000000000001,0.3076605687022814
0.30000000000000004,0.7000000000000001,0.3076024548325807
0.4,0.7000000000000001,0.308678938521675
0.5,0.7000000000000001,0.30959197288638
0.6000000000000001,0.7000000000000001,0.31100047240179707
0.7000000000000001,0.7000000000000001,0.31277107422408723
0.8,0.7000000000000001,0.31631309778871397
0.9,0.7000000000000001,0.32140156076229887
1.,0.7000000000000001,0.3274703580118494
1.1,0.7000000000000001,0.33387306983658704
1.2000000000000002,0.7000000000000001,0.3398648584608855
1.3,0.7000000000000001,0.34607638510841404
1.4000000000000001,0.7000000000000001,0.3505903276617234
1.5,0.7000000000000001,0.3559687219647831
1.6,0.7000000000000001,0.36133081233510894
1.7000000000000002,0.7000000000000001,0.36752487662158845
1.8,0.7000000000000001,0.3735914734524083
1.9000000000000001,0.7000000000000001,0.3790843966592816
2.,0.7000000000000001,0.38388875831433694
0.,0.8,0.3041104653419216
0.1,0.8,0.30342527651136214
0.2,0.8,0.30370690345236045
0.30000000000000004,0.8,0.3038279213141912
0.4,0.8,0.30454654742458315
0.5,0.8,0.30496541010328604
0.6000000000000001,0.8,0.30567122995972573
0.7000000000000001,0.8,0.3070636042907156
0.8,0.8,0.30786623483477765
0.9,0.8,0.3099524819509516
1.,0.8,0.3140782044888167
1.1,0.8,0.3194135466755013
1.2000000000000002,0.8,0.3234861256258955
1.3,0.8,0.3275909828945029
1.4000000000000001,0.8,0.3310170850432396
1.5,0.8,0.3353167270962517
1.6,0.8,0.3394421287669513
1.7000000000000002,0.8,0.343062271847394
1.8,0.8,0.3473239072467497
1.9000000000000001,0.8,0.35155845334026736
2.,0.8,0.35517185180361227
0.,0.9,0.30675630296416545
0.1,0.9,0.3051908295666478
0.2,0.9,0.30445334123775547
0.30000000000000004,0.9,0.3042884005144392
0.4,0.9,0.30435039667403635
0.5,0.9,0.30455784588912443
0.6000000000000001,0.9,0.30450160701963597
0.7000000000000001,0.9,0.3042874292808697
0.8,0.9,0.3049646530657109
0.9,0.9,0.3060210446644317
1.,0.9,0.30711225147946447
1.1,0.9,0.3087673142165697
1.2000000000000002,0.9,0.3114679435380802
1.3,0.9,0.3147661641059306
1.4000000000000001,0.9,0.3178330327688457
1.5,0.9,0.3199777944624819
1.6,0.9,0.3231312298838583
1.7000000000000002,0.9,0.3261795588088913
1.8,0.9,0.33027029070743175
1.9000000000000001,0.9,0.3339366906815915
2.,0.9,0.3372165853379137
0.,1.,0.33447705390578253
0.1,1.,0.3249730012316753
0.2,1.,0.31593136539833266
0.30000000000000004,1.,0.3095780676548967
0.4,1.,0.3060609756779664
0.5,1.,0.30347691011357586
0.6000000000000001,1.,0.3029674101332618
0.7000000000000001,1.,0.3023075367193619
0.8,1.,0.3021274637025061
0.9,1.,0.30305866317204877
1.,1.,0.30370699385921085
1.1,1.,0.3046031715978643
1.2000000000000002,1.,0.30659119469065926
1.3,1.,0.3085274071599477
1.4000000000000001,1.,0.31135052097065163
1.5,1.,0.31381879539994895
1.6,1.,0.31513134440368673
1.7000000000000002,1.,0.31776146450024834
1.8,1.,0.32004700005575454
1.9000000000000001,1.,0.32241980915558416
2.,1.,0.32521775520422624
0.,1.1,0.305507914050627
0.1,1.1,0.30362233423862356
0.2,1.1,0.3022586032615041
0.30000000000000004,1.1,0.3018222683540378
0.4,1.1,0.30089263450755066
0.5,1.1,0.29992280653918985
0.6000000000000001,1.1,0.299134069955887
0.7000000000000001,1.1,0.2993758620716642
0.8,1.1,0.2994399967196405
0.9,1.1,0.29954114891966765
1.,1.1,0.3003850188462871
1.1,1.1,0.30166951101092776
1.2000000000000002,1.1,0.3031607213784428
1.3,1.1,0.3045397201357854
1.4000000000000001,1.1,0.3061617727943152
1.5,1.1,0.3079651045788192
1.6,1.1,0.3094613753293048
1.7000000000000002,1.1,0.31139104473172813
1.8,1.1,0.3134200627611777
1.9000000000000001,1.1,0.3149351996560519
2.,1.1,0.317030185904264
0.,1.2000000000000002,0.3021673632063789
0.1,1.2000000000000002,0.30031345708294194
0.2,1.2000000000000002,0.2991214557596192
0.30000000000000004,1.2000000000000002,0.2980658159443071
0.4,1.2000000000000002,0.2975000883029301
0.5,1.2000000000000002,0.297032092961187
0.6000000000000001,1.2000000000000002,0.2969496267905024
0.7000000000000001,1.2000000000000002,0.2972704920379356
0.8,1.2000000000000002,0.29754177040663615
0.9,1.2000000000000002,0.29746792525745913
1.,1.2000000000000002,0.29825207541143633
1.1,1.2000000000000002,0.29923100805118197
1.2000000000000002,1.2000000000000002,0.30023319246127017
1.3,1.2000000000000002,0.3013817962646937
1.4000000000000001,1.2000000000000002,0.3019766277290531
