"hz","J","promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi"
"ϵ","Jxy",0.28448822796912626
"ϵ","Jxy",0.2856127922802414
"ϵ","Jxy",0.28655540513601674
"ϵ","Jxy",0.28761801357089206
"ϵ","Jxy",0.29015373391537697
"ϵ","Jxy",0.2948253725482956
"ϵ","Jxy",0.3006456789109729
"ϵ","Jxy",0.30739797070440905
"ϵ","Jxy",0.9999999999999999
"ϵ","Jxy",0.400065862422017
"ϵ","Jxy",0.34633262132378795
"ϵ","Jxy",0.3240034885133353
"ϵ","Jxy",0.3122998861483228
"ϵ","Jxy",0.30649195011070285
"ϵ","Jxy",0.30214390319246726
"ϵ","Jxy",0.2963761281332495
"ϵ","Jxy",0.2925968187595207
"ϵ","Jxy",0.290495842603944
"ϵ","Jxy",0.28771512888619777
"ϵ","Jxy",0.2855702583217957
"ϵ","Jxy",0.2855776165528027
"ϵ","Jxy",0.28590437207387637
"ϵ","Jxy",0.28724757529572253
"ϵ","Jxy",0.2899489327042562
"ϵ","Jxy",0.29201076586173463
"ϵ","Jxy",0.29519562661898907
"ϵ","Jxy",0.2977191760208448
"ϵ","Jxy",0.30116148049707614
"ϵ","Jxy",0.3085058749013214
"ϵ","Jxy",1.0000000000000002
"ϵ","Jxy",0.41002855869141774
"ϵ","Jxy",0.3566731874843982
"ϵ","Jxy",0.33684603974455846
"ϵ","Jxy",0.32448212719349945
"ϵ","Jxy",0.3182900138984345
"ϵ","Jxy",0.3103392716394314
"ϵ","Jxy",0.3030441554192851
"ϵ","Jxy",0.29826790003144427
"ϵ","Jxy",0.29573702845543054
"ϵ","Jxy",0.29452776344738174
"ϵ","Jxy",0.2929299454312677
"ϵ","Jxy",0.2917957467408649
"ϵ","Jxy",0.2919160532804874
"ϵ","Jxy",0.2907897349790395
"ϵ","Jxy",0.293075979529967
"ϵ","Jxy",0.29437304662613784
"ϵ","Jxy",0.29725919098089376
"ϵ","Jxy",0.2990324993217594
"ϵ","Jxy",0.30359357236679346
"ϵ","Jxy",0.3138388951971362
"ϵ","Jxy",1.0000000000000002
"ϵ","Jxy",0.44405199291158204
"ϵ","Jxy",0.37939740825548357
"ϵ","Jxy",0.3538382559187425
"ϵ","Jxy",0.34100765879085776
"ϵ","Jxy",0.3311464699719367
"ϵ","Jxy",0.3229028187221422
"ϵ","Jxy",0.3129229551984923
"ϵ","Jxy",0.3074180003128341
"ϵ","Jxy",0.3039512309766402
"ϵ","Jxy",0.29851009152043906
"ϵ","Jxy",0.29771874199537407
"ϵ","Jxy",0.3008567230108118
"ϵ","Jxy",0.3009299950617476
"ϵ","Jxy",0.3000073579936943
"ϵ","Jxy",0.3015696116321053
"ϵ","Jxy",0.30076429381141806
"ϵ","Jxy",0.30120234303784377
"ϵ","Jxy",0.3057803908765184
"ϵ","Jxy",0.30681755776120834
"ϵ","Jxy",0.31313838426688423
"ϵ","Jxy",1.
"ϵ","Jxy",0.4860237903607037
"ϵ","Jxy",0.4126073228150971
"ϵ","Jxy",0.3775235351198392
"ϵ","Jxy",0.35945016745917846
"ϵ","Jxy",0.348554148243732
"ϵ","Jxy",0.3402691158724664
"ϵ","Jxy",0.33104940823954826
"ϵ","Jxy",0.32032001496389173
"ϵ","Jxy",0.31583561343150923
"ϵ","Jxy",0.30793068429694875
"ϵ","Jxy",0.3062602721756703
"ϵ","Jxy",0.30632105755547184
"ϵ","Jxy",0.3071699164872208
"ϵ","Jxy",0.3100130153530728
"ϵ","Jxy",0.30879603877350326
"ϵ","Jxy",0.3076206577419629
"ϵ","Jxy",0.30925850488973966
"ϵ","Jxy",0.31131349237872835
"ϵ","Jxy",0.31277839062097945
"ϵ","Jxy",0.31731429747795303
"ϵ","Jxy",1.
"ϵ","Jxy",0.5259134702460238
"ϵ","Jxy",0.45220190479336003
"ϵ","Jxy",0.41106510875146224
"ϵ","Jxy",0.3840374661297429
"ϵ","Jxy",0.36651931794193504
"ϵ","Jxy",0.35510237056002536
"ϵ","Jxy",0.3463301812072129
"ϵ","Jxy",0.33249771981857124
"ϵ","Jxy",0.32220010800617926
"ϵ","Jxy",0.3238024575957843
"ϵ","Jxy",0.31795670544718935
"ϵ","Jxy",0.3137579004841532
"ϵ","Jxy",0.3174528188830889
"ϵ","Jxy",0.31781703670522277
"ϵ","Jxy",0.3190696124223684
"ϵ","Jxy",0.3202238925659251
"ϵ","Jxy",0.31751577649569057
"ϵ","Jxy",0.3195485281219196
"ϵ","Jxy",0.3206278759882993
"ϵ","Jxy",0.3248734658743016
"ϵ","Jxy",1.
"ϵ","Jxy",0.5593173815233123
"ϵ","Jxy",0.4915503846106431
"ϵ","Jxy",0.450546378658077
"ϵ","Jxy",0.4197416277456065
"ϵ","Jxy",0.3950138845977393
"ϵ","Jxy",0.3761226132518487
"ϵ","Jxy",0.36249846169662725
"ϵ","Jxy",0.34548225920749764
"ϵ","Jxy",0.33740720798393725
"ϵ","Jxy",0.3302277308957485
"ϵ","Jxy",0.32856651307272117
"ϵ","Jxy",0.3269977078015377
"ϵ","Jxy",0.3241239788912786
"ϵ","Jxy",0.3259745492981432
"ϵ","Jxy",0.32674162396920103
"ϵ","Jxy",0.3298443246363008
"ϵ","Jxy",0.3311019585988139
"ϵ","Jxy",0.3318924130597274
"ϵ","Jxy",0.33565843469292667
"ϵ","Jxy",0.33917888583934336
"ϵ","Jxy",1.0000000000000002
"ϵ","Jxy",0.5879720385106614
"ϵ","Jxy",0.5236999985459219
"ϵ","Jxy",0.48784607584059564
"ϵ","Jxy",0.45847019662594174
"ϵ","Jxy",0.4328209504351041
"ϵ","Jxy",0.40528192682281594
"ϵ","Jxy",0.3874641180569174
"ϵ","Jxy",0.3687789429200513
"ϵ","Jxy",0.35429333232738464
"ϵ","Jxy",0.34437712247259294
"ϵ","Jxy",0.34080760847166375
"ϵ","Jxy",0.33644351322916116
"ϵ","Jxy",0.3329400931347458
"ϵ","Jxy",0.3345373389326729
"ϵ","Jxy",0.3368414372447503
"ϵ","Jxy",0.333761015239218
"ϵ","Jxy",0.3331991434538119
"ϵ","Jxy",0.3396856879432719
"ϵ","Jxy",0.3434167961792331
"ϵ","Jxy",0.34912413870054276
"ϵ","Jxy",1.
"ϵ","Jxy",0.6133523117299301
"ϵ","Jxy",0.5489080684343144
"ϵ","Jxy",0.5172108992572855
"ϵ","Jxy",0.49280457059148985
"ϵ","Jxy",0.4683508559721841
"ϵ","Jxy",0.44291849330702115
"ϵ","Jxy",0.41552186910507294
"ϵ","Jxy",0.39662344496466945
"ϵ","Jxy",0.37308800042636064
"ϵ","Jxy",0.36293514170259583
"ϵ","Jxy",0.34894773300883297
"ϵ","Jxy",0.34686616752554034
"ϵ","Jxy",0.34743245395885775
"ϵ","Jxy",0.34486300068744163
"ϵ","Jxy",0.34540451831448726
"ϵ","Jxy",0.34469413360758316
"ϵ","Jxy",0.34090417723628447
"ϵ","Jxy",0.3470373655796845
"ϵ","Jxy",0.34342505579564075
"ϵ","Jxy",0.3545286521369821
"ϵ","Jxy",1.0000000000000002
"ϵ","Jxy",0.6351401480170559
"ϵ","Jxy",0.5682691987129566
"ϵ","Jxy",0.5398939621245497
"ϵ","Jxy",0.5189942905647804
"ϵ","Jxy",0.4992025456713986
"ϵ","Jxy",0.47754688508767856
"ϵ","Jxy",0.44357887199514245
"ϵ","Jxy",0.4210040092836165
"ϵ","Jxy",0.39912084307153095
"ϵ","Jxy",0.3811860812584556
"ϵ","Jxy",0.3738487208461105
"ϵ","Jxy",0.3569878775884758
"ϵ","Jxy",0.3529982997208814
"ϵ","Jxy",0.35911475666635684
"ϵ","Jxy",0.35128090242571175
"ϵ","Jxy",0.35227465981315237
"ϵ","Jxy",0.3527273984713854
"ϵ","Jxy",0.3474596864284703
"ϵ","Jxy",0.35349448551833007
"ϵ","Jxy",0.3579110705371599
"ϵ","Jxy",1.
"ϵ","Jxy",0.6538881727721291
"ϵ","Jxy",0.5844978280309201
"ϵ","Jxy",0.5566724915330284
"ϵ","Jxy",0.5374316312948374
"ϵ","Jxy",0.5231176635357964
"ϵ","Jxy",0.5055775092424658
"ϵ","Jxy",0.4761911180972098
"ϵ","Jxy",0.44501611083057463
"ϵ","Jxy",0.4238655270809907
"ϵ","Jxy",0.4030748072658286
"ϵ","Jxy",0.3895252687444568
"ϵ","Jxy",0.3793283984449681
"ϵ","Jxy",0.3703714778416478
"ϵ","Jxy",0.3635798054975949
"ϵ","Jxy",0.36476381098022637
"ϵ","Jxy",0.35450613519280294
"ϵ","Jxy",0.35913658225653394
"ϵ","Jxy",0.35859356734585
"ϵ","Jxy",0.3563725416485691
"ϵ","Jxy",0.3590741716495509
"ϵ","Jxy",1.
"ϵ","Jxy",0.6707046809349129
"ϵ","Jxy",0.5985387776091603
"ϵ","Jxy",0.5697877833884853
"ϵ","Jxy",0.5516262837269023
"ϵ","Jxy",0.5409886889032871
"ϵ","Jxy",0.5258462871606944
"ϵ","Jxy",0.5018243231137317
"ϵ","Jxy",0.4743850956278115
"ϵ","Jxy",0.4496003039044436
"ϵ","Jxy",0.4250950482623294
"ϵ","Jxy",0.40702651207435464
"ϵ","Jxy",0.39058935910749776
"ϵ","Jxy",0.38280197498564195
"ϵ","Jxy",0.3746242807535521
"ϵ","Jxy",0.37182310726178924
"ϵ","Jxy",0.3711382719060741
"ϵ","Jxy",0.36304189871345266
"ϵ","Jxy",0.36687974138580237
"ϵ","Jxy",0.36480458228646806
"ϵ","Jxy",0.36293317354851495
"ϵ","Jxy",1.
"ϵ","Jxy",0.6863230725429418
"ϵ","Jxy",0.6110343590197463
"ϵ","Jxy",0.5806990278956665
"ϵ","Jxy",0.5635382930077482
"ϵ","Jxy",0.5536145318393311
"ϵ","Jxy",0.5402496634202718
"ϵ","Jxy",0.5204692430482216
"ϵ","Jxy",0.5011252225148008
"ϵ","Jxy",0.47400425966945436
"ϵ","Jxy",0.4501513004939307
"ϵ","Jxy",0.42828257210166903
"ϵ","Jxy",0.40741271717336075
"ϵ","Jxy",0.3993134812926064
"ϵ","Jxy",0.39203180484288425
"ϵ","Jxy",0.3847683770440968
"ϵ","Jxy",0.37892469540100154
"ϵ","Jxy",0.376769872433006
"ϵ","Jxy",0.3703054797286467
"ϵ","Jxy",0.37503095169376754
"ϵ","Jxy",0.37114479257592436
"ϵ","Jxy",1.0000000000000002
"ϵ","Jxy",0.7009427219745227
"ϵ","Jxy",0.6227756785987154
"ϵ","Jxy",0.5901465600096021
"ϵ","Jxy",0.5735362907331962
"ϵ","Jxy",0.5630337546901271
"ϵ","Jxy",0.5520145191735423
"ϵ","Jxy",0.5335337133410889
"ϵ","Jxy",0.5180210591254604
"ϵ","Jxy",0.500358192009343
"ϵ","Jxy",0.47185513449077016
"ϵ","Jxy",0.4508144972522723
"ϵ","Jxy",0.4259199031915169
"ϵ","Jxy",0.41272712665422917
"ϵ","Jxy",0.4052018690813736
"ϵ","Jxy",0.3950415411260707
"ϵ","Jxy",0.39204589846377447
"ϵ","Jxy",0.3837581177419138
"ϵ","Jxy",0.38214025843625665
"ϵ","Jxy",0.37713678568626563
"ϵ","Jxy",0.38284723256656294
