hz,J,promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi
0.7,0.1,0.413804
0.7,0.2,0.358414
0.7,0.3,0.334057
0.7,0.4,0.323576
0.7,0.5,0.316793
0.7,0.6,0.309868
0.7,0.7,0.304479
0.7,0.8,0.301774
0.7,0.9,0.30011
0.7,1.,0.297062
0.7,1.1,0.296312
0.7,1.2,0.296258
0.7,1.3,0.298659
0.7,1.4,0.300866
0.7,1.5,0.302044
0.7,1.6,0.304807
0.7,1.7,0.307356
0.7,1.8,0.309544
0.7,1.9,0.314911
0.7,2.,0.32097
0.7,2.1,0.328554
0.7,2.2,0.33935
0.7,2.3,0.353885
0.7,2.4,0.369527
0.7,2.5,0.392737
0.7,2.6,0.402504
0.7,2.7,0.406248
0.7,2.8,0.430726
0.7,2.9,0.44949
0.7,3.,0.453094
0.8,0.,1.
0.8,0.1,0.406864
0.8,0.2,0.356573
0.8,0.3,0.337021
0.8,0.4,0.328517
0.8,0.5,0.320254
0.8,0.6,0.316774
0.8,0.7,0.311802
0.8,0.8,0.308516
0.8,0.9,0.306109
0.8,1.,0.302224
0.8,1.1,0.301658
0.8,1.2,0.300015
0.8,1.3,0.303313
0.8,1.4,0.306598
0.8,1.5,0.307963
0.8,1.6,0.30747
0.8,1.7,0.310049
0.8,1.8,0.31092
0.8,1.9,0.313514
0.8,2.,0.319941
0.8,2.1,0.327205
0.8,2.2,0.336407
0.8,2.3,0.338192
0.8,2.4,0.351382
0.8,2.5,0.367074
0.8,2.6,0.381482
0.8,2.7,0.402324
0.8,2.8,0.421373
0.8,2.9,0.426848
0.8,3.,0.42816
0.9,0.,1.
0.9,0.1,0.41555
0.9,0.2,0.362078
0.9,0.3,0.341605
0.9,0.4,0.332315
0.9,0.5,0.329295
0.9,0.6,0.322903
0.9,0.7,0.317562
0.9,0.8,0.314589
0.9,0.9,0.310989
0.9,1.,0.307364
0.9,1.1,0.304708
0.9,1.2,0.305145
0.9,1.3,0.307807
0.9,1.4,0.311415
0.9,1.5,0.312249
0.9,1.6,0.315237
0.9,1.7,0.31883
0.9,1.8,0.315935
0.9,1.9,0.316366
0.9,2.,0.324965
0.9,2.1,0.330078
0.9,2.2,0.336384
0.9,2.3,0.347457
0.9,2.4,0.35316
0.9,2.5,0.356709
0.9,2.6,0.364324
0.9,2.7,0.375643
0.9,2.8,0.40118
0.9,2.9,0.417062
0.9,3.,0.432544
1.,0.,1.
1.,0.1,0.44934
1.,0.2,0.386873
1.,0.3,0.357478
1.,0.4,0.345901
1.,0.5,0.336717
1.,0.6,0.329926
1.,0.7,0.328039
1.,0.8,0.326838
1.,0.9,0.31809
1.,1.,0.31376
1.,1.1,0.310049
1.,1.2,0.308636
1.,1.3,0.307889
1.,1.4,0.310431
1.,1.5,0.316033
1.,1.6,0.318373
1.,1.7,0.322826
1.,1.8,0.324285
1.,1.9,0.325354
1.,2.,0.327728
1.,2.1,0.332083
1.,2.2,0.334946
1.,2.3,0.345332
1.,2.4,0.353928
1.,2.5,0.363298
1.,2.6,0.375817
1.,2.7,0.38198
1.,2.8,0.382887
1.,2.9,0.389523
1.,3.,0.409911
1.1,0.,1.
1.1,0.1,0.484906
1.1,0.2,0.417944
1.1,0.3,0.383812
1.1,0.4,0.36543
1.1,0.5,0.354926
1.1,0.6,0.344983
1.1,0.7,0.341998
1.1,0.8,0.334132
1.1,0.9,0.326122
1.1,1.,0.321925
1.1,1.1,0.319006
1.1,1.2,0.315961
1.1,1.3,0.316223
1.1,1.4,0.317929
1.1,1.5,0.313563
1.1,1.6,0.315738
1.1,1.7,0.32509
1.1,1.8,0.331671
1.1,1.9,0.337237
1.1,2.,0.337006
1.1,2.1,0.33866
1.1,2.2,0.340143
1.1,2.3,0.342389
1.1,2.4,0.349494
1.1,2.5,0.353462
1.1,2.6,0.36879
1.1,2.7,0.376307
1.1,2.8,0.385077
1.1,2.9,0.404207
1.1,3.,0.414165
1.2,0.,1.
1.2,0.1,0.518715
1.2,0.2,0.448291
1.2,0.3,0.414671
1.2,0.4,0.390645
1.2,0.5,0.378741
1.2,0.6,0.370526
1.2,0.7,0.363434
1.2,0.8,0.347809
1.2,0.9,0.341671
1.2,1.,0.329762
1.2,1.1,0.324795
1.2,1.2,0.323701
1.2,1.3,0.326748
1.2,1.4,0.323467
1.2,1.5,0.325043
1.2,1.6,0.327519
1.2,1.7,0.321566
1.2,1.8,0.326786
1.2,1.9,0.33876
1.2,2.,0.346591
1.2,2.1,0.347203
1.2,2.2,0.34891
1.2,2.3,0.349466
1.2,2.4,0.350181
1.2,2.5,0.353575
1.2,2.6,0.360246
1.2,2.7,0.371502
1.2,2.8,0.381302
1.2,2.9,0.387963
1.2,3.,0.398749
1.3,0.,1.
1.3,0.1,0.551171
1.3,0.2,0.479335
1.3,0.3,0.444725
1.3,0.4,0.421085
1.3,0.5,0.401752
1.3,0.6,0.395348
1.3,0.7,0.386069
1.3,0.8,0.37618
1.3,0.9,0.354938
1.3,1.,0.348107
1.3,1.1,0.341257
1.3,1.2,0.331647
1.3,1.3,0.331441
1.3,1.4,0.331905
1.3,1.5,0.335124
1.3,1.6,0.33569
1.3,1.7,0.340142
1.3,1.8,0.336811
1.3,1.9,0.336936
1.3,2.,0.338757
1.3,2.1,0.354807
1.3,2.2,0.351787
1.3,2.3,0.358142
1.3,2.4,0.3578
1.3,2.5,0.359724
1.3,2.6,0.358734
1.3,2.7,0.364823
1.3,2.8,0.369806
1.3,2.9,0.38603
1.3,3.,0.393653
1.4,0.,1.
1.4,0.1,0.581288
1.4,0.2,0.510558
1.4,0.3,0.473298
1.4,0.4,0.449344
1.4,0.5,0.433048
1.4,0.6,0.419518
1.4,0.7,0.40492
1.4,0.8,0.39565
1.4,0.9,0.371689
1.4,1.,0.358881
1.4,1.1,0.355802
1.4,1.2,0.34433
1.4,1.3,0.333704
1.4,1.4,0.336104
1.4,1.5,0.342978
1.4,1.6,0.344632
1.4,1.7,0.347237
1.4,1.8,0.349636
1.4,1.9,0.350057
1.4,2.,0.346931
1.4,2.1,0.354238
1.4,2.2,0.36112
1.4,2.3,0.36344
1.4,2.4,0.368181
1.4,2.5,0.367393
1.4,2.6,0.364134
1.4,2.7,0.366107
1.4,2.8,0.36837
1.4,2.9,0.375291
1.4,3.,0.376208
1.5,0.,1.
1.5,0.1,0.608485
1.5,0.2,0.539349
1.5,0.3,0.501886
1.5,0.4,0.477812
1.5,0.5,0.462657
1.5,0.6,0.446791
1.5,0.7,0.426787
1.5,0.8,0.41229
1.5,0.9,0.389647
1.5,1.,0.380618
1.5,1.1,0.371691
1.5,1.2,0.368338
1.5,1.3,0.357959
1.5,1.4,0.339906
1.5,1.5,0.341229
1.5,1.6,0.347015
1.5,1.7,0.355058
1.5,1.8,0.358493
1.5,1.9,0.359609
1.5,2.,0.357588
1.5,2.1,0.363101
1.5,2.2,0.365112
1.5,2.3,0.380625
1.5,2.4,0.383603
1.5,2.5,0.377687
1.5,2.6,0.382087
1.5,2.7,0.381047
1.5,2.8,0.373073
1.5,2.9,0.372767
1.5,3.,0.374691
1.6,0.,1.
1.6,0.1,0.631961
1.6,0.2,0.563766
1.6,0.3,0.528682
1.6,0.4,0.507391
1.6,0.5,0.488202
1.6,0.6,0.471866
1.6,0.7,0.450513
1.6,0.8,0.429202
1.6,0.9,0.417434
1.6,1.,0.396613
1.6,1.1,0.385215
1.6,1.2,0.383908
1.6,1.3,0.378287
1.6,1.4,0.362719
1.6,1.5,0.348737
1.6,1.6,0.350683
1.6,1.7,0.356301
1.6,1.8,0.364062
1.6,1.9,0.367667
1.6,2.,0.369102
1.6,2.1,0.372782
1.6,2.2,0.376101
1.6,2.3,0.377941
1.6,2.4,0.392716
1.6,2.5,0.402856
1.6,2.6,0.391586
1.6,2.7,0.39943
1.6,2.8,0.399525
1.6,2.9,0.394147
1.6,3.,0.382806
1.7,0.,1.
1.7,0.1,0.65209
1.7,0.2,0.58409
1.7,0.3,0.551418
1.7,0.4,0.531377
1.7,0.5,0.513261
1.7,0.6,0.49371
1.7,0.7,0.470795
1.7,0.8,0.447929
1.7,0.9,0.43942
1.7,1.,0.417606
1.7,1.1,0.402406
1.7,1.2,0.395427
1.7,1.3,0.389728
1.7,1.4,0.383695
1.7,1.5,0.370443
1.7,1.6,0.359062
1.7,1.7,0.358428
1.7,1.8,0.362799
1.7,1.9,0.372114
1.7,2.,0.375712
1.7,2.1,0.377673
1.7,2.2,0.381591
1.7,2.3,0.386817
1.7,2.4,0.393147
1.7,2.5,0.400591
1.7,2.6,0.41252
1.7,2.7,0.416343
1.7,2.8,0.422347
1.7,2.9,0.419833
1.7,3.,0.414916
1.8,0.,1.
1.8,0.1,0.669851
1.8,0.2,0.600983
1.8,0.3,0.569785
1.8,0.4,0.550823
1.8,0.5,0.537641
1.8,0.6,0.516664
1.8,0.7,0.491688
1.8,0.8,0.466103
