0.,0.,"{-7.000000000000006, -5., -5., -4.999999999999997, -4.999999999999995, -3.0000000000000004, -3., -3., -2.9999999999999996, -2.9999999999999996, -2.9999999999999996, -2.9999999999999996, -2.999999999999999, -2.999999999999999, -2.9999999999999982, -2.9999999999999982, -2.999999999999997, -1.000000000000002, -1.0000000000000016, -1.0000000000000016, -1.0000000000000013, -1.0000000000000009, -1.0000000000000007, -1.0000000000000004, -1., -1., -0.9999999999999999, -0.9999999999999998, -0.9999999999999997, -0.9999999999999994, -0.9999999999999994, -0.9999999999999987, -0.9999999999999979, -0.9999999999999978, -0.9999999999999977, -0.9999999999999938, 0.9999999999999972, 0.9999999999999977, 0.999999999999998, 0.9999999999999987, 0.9999999999999991, 0.9999999999999991, 0.9999999999999992, 0.9999999999999994, 0.9999999999999998, 0.9999999999999998, 0.9999999999999999, 1., 1., 1., 1.0000000000000004, 1.0000000000000007, 1.000000000000001, 1.0000000000000013, 1.0000000000000013, 2.999999999999997, 2.9999999999999982, 2.9999999999999982, 2.9999999999999982, 2.9999999999999987, 2.9999999999999996, 3., 3.0000000000000004, 3.000000000000001, 3.0000000000000018, 3.000000000000002, 3.0000000000000044, 4.9999999999999964, 4.9999999999999964, 4.999999999999999, 5.000000000000001, 7.000000000000005}"
0.,2.,"{-13.159840878859674, -13.136396220577373, -10.684363293175059, -9.845678563162936, -8.948015244147673, -8.215805468440177, -7.616969245549728, -7.3936456357606435, -7.370200977478347, -7.281642384398565, -5.763772541037877, -5.7403278827555795, -5.657297586733208, -5.633852928450907, -4.829609456996249, -4.806164798713952, -4.326251588135281, -4.3028069298529825, -4.027424492010457, -4.003979833728157, -3.181820001048611, -3.0932614079688254, -3.069816749686526, -2.696378493412528, -2.672933835130227, -2.4496102253411247, -1.8507740024506798, -1.7622154093708968, -1.738770751088597, -1.551946906325847, -1.5154471412994999, -0.9999999999999986, -0.7132621763137068, -0.617783822284222, -0.22090090772792031, -0.11442595342325804, 0.11442595342325747, 0.22090090772792134, 0.6177838222842226, 0.7132621763137064, 0.9999999999999997, 1.5154471412995016, 1.5519469063258475, 1.7387707510885992, 1.762215409370898, 1.8507740024506794, 2.4496102253411256, 2.6729338351302263, 2.6963784934125252, 3.0698167496865287, 3.0932614079688268, 3.181820001048607, 4.003979833728154, 4.027424492010449, 4.302806929852985, 4.3262515881352845, 4.806164798713947, 4.829609456996247, 5.633852928450911, 5.657297586733212, 5.740327882755579, 5.763772541037877, 7.2816423843985705, 7.37020097747834, 7.393645635760639, 7.616969245549734, 8.21580546844016, 8.948015244147664, 9.845678563162954, 10.684363293175073, 13.13639622057737, 13.159840878859674}"
2.,0.,"{-15.652475842498527, -11.180339887498972, -11.180339887498949, -11.180339887498942, -11.180339887498942, -6.708203932499384, -6.708203932499378, -6.708203932499377, -6.708203932499375, -6.708203932499373, -6.708203932499372, -6.708203932499369, -6.7082039324993685, -6.7082039324993685, -6.708203932499368, -6.708203932499364, -6.708203932499362, -2.2360679774997947, -2.236067977499792, -2.2360679774997916, -2.236067977499791, -2.2360679774997907, -2.2360679774997907, -2.23606797749979, -2.23606797749979, -2.2360679774997894, -2.2360679774997894, -2.236067977499789, -2.236067977499789, -2.236067977499788, -2.2360679774997876, -2.236067977499787, -2.2360679774997867, -2.2360679774997863, -2.236067977499786, -2.2360679774997845, 2.2360679774997867, 2.2360679774997867, 2.236067977499787, 2.2360679774997876, 2.236067977499788, 2.236067977499788, 2.236067977499788, 2.2360679774997885, 2.2360679774997885, 2.2360679774997885, 2.2360679774997894, 2.23606797749979, 2.2360679774997902, 2.2360679774997902, 2.2360679774997902, 2.236067977499791, 2.236067977499791, 2.236067977499791, 2.2360679774997934, 6.708203932499363, 6.708203932499365, 6.708203932499366, 6.708203932499366, 6.7082039324993685, 6.70820393249937, 6.70820393249937, 6.708203932499373, 6.708203932499373, 6.708203932499375, 6.708203932499375, 6.708203932499399, 11.180339887498949, 11.180339887498958, 11.18033988749896, 11.180339887498963, 15.65247584249851}"
2.,2.,"{-26.665033526144885, -18.583170603582126, -15.46872308830736, -15.002256368115246, -14.585428704453392, -13.4586429006317, -11.218412324964387, -10.501308557734818, -10.381940356425032, -9.390202826604789, -7.45714159834444, -7.38146172031667, -6.79682771543278, -6.544315248823507, -6.517418881685595, -6.040393364254, -5.425456315144253, -5.376914967149164, -4.283961972552615, -3.822217119627634, -3.2239654777794553, -3.141166561604166, -2.9651023522285076, -2.316128957096176, -2.290308194473429, -2.2440479410413072, -1.8690443561046952, -1.7570656258144195, -1.3147586231462296, -1.1670827880789632, -0.8256137216099876, -0.7370706159861555, -0.2542226041599062, 0.25178645193792687, 0.7027635754942979, 0.9139468845379969, 1.2106259392658683, 1.5469447636208176, 1.6664202127189436, 1.8948409799843662, 2.0557270299368984, 2.147127493340314, 2.264507992520174, 2.677280858838695, 2.8766503411441136, 3.2295350198549553, 3.664579819827434, 3.9603749739469847, 4.238766712627733, 4.825138431092556, 4.926891382152378, 5.266711807494656, 5.53143455221395, 5.987028711035522, 6.331647390224471, 6.374153415356191, 6.4478671721578085, 6.816861497006576, 6.935284350322163, 7.297307735330385, 7.554786837011835, 7.998105444108602, 8.770358340108256, 8.862064264420958, 9.625143519998797, 10.274531350923182, 10.802266536266353, 10.944596720632626, 11.664114518425192, 12.181636256835597, 13.096423841176309, 15.190572855525927}"
