"t","valor esperado de Haar de la pureza de Choi"
0.,0.9999999999999994
0.5,0.6580121866986621
1.,0.5118198375293165
1.5,0.4462049800224961
2.,0.38968817595776795
2.5,0.38912311531879273
3.,0.3654868150073784
3.5,0.35190109989963764
4.,0.3569944256949709
4.5,0.3559889141733321
5.,0.35913457547683825
5.5,0.37790945218085337
6.,0.37746866721211647
6.5,0.36811957455098243
7.,0.36699926789528636
7.5,0.3752553687649114
8.,0.38490050061966397
8.5,0.36529557114047156
9.,0.3604428684732478
9.5,0.35430552084884503
10.,0.35471891304603065
10.5,0.3688979902855787
11.,0.36512881904927086
11.5,0.3770844553372183
12.,0.3634217641871811
12.5,0.37749840632353726
13.,0.4222819978429436
13.5,0.4493268556053579
14.,0.41562724527288564
14.5,0.4050008417242285
15.,0.4217463977287431
15.5,0.43391584571015707
16.,0.4252406612611322
16.5,0.38383614593550697
17.,0.3661900288889969
17.5,0.36148705721197766
18.,0.3610957489179295
18.5,0.3618772843719365
19.,0.36977249476689794
19.5,0.3726261422116068
20.,0.382458602616482
20.5,0.3657909951763729
21.,0.3680171151060374
21.5,0.3905081064468857
22.,0.37194216441275724
22.5,0.3605545833625634
23.,0.348376527119229
23.5,0.35276230845985523
24.,0.3510207394014061
24.5,0.3531853672565843
25.,0.3601260923755635
25.5,0.3539001758273629
26.,0.35721717225803307
26.5,0.3663880515495679
27.,0.36709320093574316
27.5,0.36124339358125057
28.,0.3617313115929184
28.5,0.3808372500528955
29.,0.3862438334548144
29.5,0.38244505027336645
30.,0.3660299153359976
30.5,0.36498466923491646
31.,0.3638976735312111
31.5,0.3811219498488604
32.,0.38221553318595614
32.5,0.3955506852732903
33.,0.3829394879507695
33.5,0.3748887339447018
34.,0.3823665954438842
34.5,0.4159845499350646
35.,0.43115493726973086
35.5,0.4734949010246948
36.,0.4261498314384445
36.5,0.40169432714840725
37.,0.39909554885077503
37.5,0.3760806349555822
38.,0.38199201871249244
38.5,0.37891164798983146
39.,0.36459763516383936
39.5,0.37871838616274134
40.,0.404311868754742
40.5,0.42391073827794323
41.,0.4121451842535578
41.5,0.3838535801277341
42.,0.35960108741618524
42.5,0.3549755654020486
43.,0.3667483240288104
43.5,0.36860871165677056
44.,0.3814249344540761
44.5,0.3806667443659594
45.,0.3641653873643943
45.5,0.3952921028284586
46.,0.4266916737989307
46.5,0.38974065129828955
47.,0.4073736954507527
47.5,0.4178204866536698
48.,0.43592440572945224
48.5,0.4454498384480495
49.,0.39987964736517223
49.5,0.3835929275113583
50.,0.3780759981114237
50.5,0.38225429771802655
51.,0.36442288011933827
51.5,0.3724210837558956
52.,0.36311726438386127
52.5,0.3756574139783999
53.,0.3681574854372266
53.5,0.3831968420711126
54.,0.41349890909777587
54.5,0.3969527244893951
55.,0.3791534820790362
55.5,0.362105520299019
56.,0.3688345395750049
56.5,0.3790024176589659
57.,0.3922410189679461
57.5,0.4199874584242691
58.,0.3851866288926591
58.5,0.38919673853415193
59.,0.3839898196160064
59.5,0.3740986349157042
60.,0.3763161543104442
60.5,0.3630285728923769
61.,0.3561303675083792
61.5,0.36136687857748667
62.,0.36280828499592843
62.5,0.3556020238659129
63.,0.3505193743614732
63.5,0.35028911298438326
64.,0.3679148628476302
64.5,0.35433088045392613
65.,0.35425640075220266
65.5,0.3624985109379281
66.,0.3598417302041792
66.5,0.3583364368404566
67.,0.3595842176628542
67.5,0.3620687133701284
68.,0.3558372519598165
68.5,0.35111079099127895
69.,0.35183327249091445
69.5,0.3738871168801964
70.,0.4002912995992048
70.5,0.4029720808016774
71.,0.37296617328969717
71.5,0.37079699204047345
72.,0.3687795600674285
72.5,0.39331506540863453
73.,0.4058133393112306
73.5,0.3911055796841243
74.,0.37791520725862116
74.5,0.3595192276213849
75.,0.36363058539087134
75.5,0.3814143204879622
76.,0.37822446262249215
76.5,0.38336826207845587
77.,0.3588500531912361
77.5,0.34958573858247755
78.,0.3529646323308034
78.5,0.3724439913383189
79.,0.36247711900512575
79.5,0.3600304224332642
80.,0.3648994537639493
80.5,0.35235597175123634
81.,0.3630595844690631
81.5,0.3585574185443963
82.,0.3465090759185957
82.5,0.3468478354940928
83.,0.3773870525235967
83.5,0.39968994564364624
84.,0.425617389950854
84.5,0.38707800669628545
85.,0.3694128611044638
85.5,0.37283213569798845
86.,0.37350561926982984
86.5,0.3941074776408541
87.,0.3906003799737836
87.5,0.3724009286661014
88.,0.3737605527994967
88.5,0.4068039637308675
89.,0.45122057503061536
89.5,0.4401269764415284
90.,0.42645952361350126
90.5,0.38452806851394067
91.,0.37891131977493087
91.5,0.3945076613955019
92.,0.3769530107131874
92.5,0.3762444112709042
93.,0.38187037012212544
93.5,0.3685272016445424
94.,0.38423854750050723
94.5,0.38978280051381686
95.,0.36825267983381693
95.5,0.35675069947134064
96.,0.35771572205766183
96.5,0.35444215419327185
97.,0.357466227369297
97.5,0.35541230255635947
98.,0.36927083521001836
98.5,0.39419556275379186
99.,0.36416173222975085
99.5,0.36554722804994494
100.,0.3710461232505303
