"t","valor esperado de Haar de la pureza de Choi"
0.,1.0000000000000004
0.5,0.9971454243025597
1.,0.9917295959541479
1.5,0.9860812726868693
2.,0.9788288730848896
2.5,0.9665752420588773
3.,0.9513396070586793
3.5,0.9359869839195178
4.,0.9200826365181385
4.5,0.9009372352299945
5.,0.8792373326649532
5.5,0.857648227024376
6.,0.8363433142362683
6.5,0.8137980723888669
7.,0.7898707018069877
7.5,0.7664038870205756
8.,0.7437254899307505
8.5,0.7213349585089961
9.,0.6989732423674142
9.5,0.677518201612
10.,0.6570613556198182
10.5,0.6376606552178696
11.,0.6193729724204424
11.5,0.6024121595111898
12.,0.5864775190859461
12.5,0.5717141262561345
13.,0.5585332864980771
13.5,0.5469061623794765
14.,0.5362460914429503
14.5,0.5265120232663392
15.,0.5182660804911372
15.5,0.5115212911565434
16.,0.5056238985645021
16.5,0.5003228497293919
17.,0.49609083551788513
17.5,0.4930746712462988
18.,0.490719042720602
18.5,0.4886905569335295
19.,0.48724117533337225
19.5,0.4866120434319895
20.,0.486408887156945
20.5,0.4863399768400276
21.,0.4864538634533784
21.5,0.48699989901545737
22.,0.4877465316905878
22.5,0.4884742799734071
23.,0.4891361539545406
23.5,0.4899185086990843
24.,0.4907457751018326
24.5,0.4914214510848315
25.,0.4919106403261625
25.5,0.49230436272112743
26.,0.49268073133659607
26.5,0.49281162920818716
27.,0.4927169483721821
27.5,0.4924039624245471
28.,0.492077022746093
28.5,0.49148346013064476
29.,0.4906630168700641
29.5,0.48958980107392513
30.,0.48852166702783517
30.5,0.4872478328718091
31.,0.4857599959742861
31.5,0.4840573442185186
32.,0.4823682382123098
32.5,0.48058330046128517
33.,0.4786091729949242
33.5,0.47649452174414836
34.,0.4743979150928581
34.5,0.4723147972805771
35.,0.47008047462340824
35.5,0.4677765666111838
36.,0.4655013512532534
36.5,0.4633183735771824
37.,0.4610275721827094
37.5,0.458711244312272
38.,0.4564366735681218
38.5,0.45429586263623445
39.,0.4520879386271315
39.5,0.44986569875201515
40.,0.4476938995538579
40.5,0.44566241479095636
41.,0.4436019487524764
41.5,0.4415131789620468
42.,0.4394785300442361
42.5,0.4375653964710613
43.,0.4356600785571618
43.5,0.43370779794813896
44.,0.43181007432461466
44.5,0.43001012664033256
45.,0.4282502140235016
45.5,0.42644402541189613
46.,0.4246923617861798
46.5,0.4230303858667953
47.,0.42143401729931934
47.5,0.419822113914586
48.,0.41827078182852906
48.5,0.4168233206703065
49.,0.4154626699943302
49.5,0.41413758336627277
50.,0.4128918722580327
50.5,0.4117785327353984
51.,0.41077057590944965
51.5,0.4098458966112001
52.,0.40903186738414365
52.5,0.40837938967682735
53.,0.40784736959578227
53.5,0.40741620239147924
54.,0.4071298431620535
54.5,0.40702417370684285
55.,0.4070504331116439
55.5,0.40714822481276075
56.,0.4074097012616156
56.5,0.4078593450235777
57.,0.4084504024623617
57.5,0.40904256805670536
58.,0.40977806900420866
58.5,0.4107044982934335
59.,0.411781472432889
59.5,0.41277709470999335
60.,0.4138376490592696
60.5,0.415091095134907
61.,0.4165060463096685
61.5,0.41778117667333975
62.,0.4189874623305664
62.5,0.4203765392552907
63.,0.42194244866159564
63.5,0.4233568797208639
64.,0.4245437420530006
64.5,0.42586905129435515
65.,0.4273887056005895
65.5,0.4287934018307549
66.,0.42983267708903306
66.5,0.4309179798396034
67.,0.43220712663742256
67.5,0.4334501225062233
68.,0.4342510872627665
68.5,0.43496660515483354
69.,0.4358751539309931
69.5,0.4368143924940324
70.,0.4373155002526767
70.5,0.4375901596125516
71.,0.43802092919587776
71.5,0.43854504493733204
72.,0.43870722477029184
72.5,0.4385292224387206
73.,0.438445988949243
73.5,0.4384934210580665
74.,0.4382956908784924
74.5,0.4377003463049795
75.,0.4371197506004666
75.5,0.4366823813702136
76.,0.4361180457087005
76.5,0.4351641654778598
77.,0.4341367776049415
77.5,0.43324502654109087
78.,0.4323196205223103
78.5,0.4310653615182863
79.,0.4296581458070121
79.5,0.4283619395911271
80.,0.4270960079707088
80.5,0.42559085587346207
81.,0.42388209307658165
81.5,0.4222460980144741
82.,0.42068482540521696
82.5,0.4189828799351699
83.,0.41707129526795006
83.5,0.41518754601762253
84.,0.41341341850326374
84.5,0.41159407598574005
85.,0.40960872176315666
85.5,0.407610728442134
86.,0.4057472323670889
86.5,0.4039222268969196
87.,0.40201273042860464
87.5,0.4000685048915317
88.,0.3982633996351711
88.5,0.39655872427793987
89.,0.39486080339658164
89.5,0.39313445415964243
90.,0.3915246344283028
90.5,0.3900440208679812
91.,0.3886396129439195
91.5,0.3872382108018325
92.,0.38591233591384877
92.5,0.384705015041938
93.,0.3836028900196221
93.5,0.3825449621986696
94.,0.3815233705234237
94.5,0.380578705151659
95.,0.3797267682524515
95.5,0.3789551300163332
96.,0.3781987744010161
96.5,0.3774692409386864
97.,0.3767908104551081
97.5,0.3762157285149993
98.,0.37565868284258613
98.5,0.37509060236800673
99.,0.3745231198365343
99.5,0.3740628765067762
100.,0.37364470957158885
