"hz","J","pureza del caometro (indicador de Wisniacki)"
0.7,0.2,0.62016
0.7,0.3,0.594018
0.7,0.4,0.578709
0.7,0.5,0.5765
0.7,0.6,0.559363
0.7,0.7,0.552321
0.7,0.8,0.559654
0.7,0.9,0.55088
0.7,1.,0.549059
0.7,1.1,0.549153
0.7,1.2,0.542919
0.7,1.3,0.546845
0.7,1.4,0.549452
0.7,1.5,0.55484
0.7,1.6,0.551207
0.7,1.7,0.551295
0.7,1.8,0.560163
0.7,1.9,0.561331
0.7,2.,0.559933
0.7,2.1,0.566999
0.7,2.2,0.567081
0.7,2.3,0.57405
0.7,2.4,0.575025
0.7,2.5,0.583196
0.7,2.6,0.603848
0.7,2.7,0.606043
0.7,2.8,0.648478
0.7,2.9,0.621938
0.7,3.,0.608372
0.8,0.,1.
0.8,0.1,0.646526
0.8,0.2,0.609017
0.8,0.3,0.587483
0.8,0.4,0.572587
0.8,0.5,0.577908
0.8,0.6,0.570704
0.8,0.7,0.559373
0.8,0.8,0.562671
0.8,0.9,0.56283
0.8,1.,0.549227
0.8,1.1,0.546937
0.8,1.2,0.547581
0.8,1.3,0.546737
0.8,1.4,0.551143
0.8,1.5,0.556187
0.8,1.6,0.556183
0.8,1.7,0.555764
0.8,1.8,0.55799
0.8,1.9,0.555861
0.8,2.,0.567118
0.8,2.1,0.575824
0.8,2.2,0.569664
0.8,2.3,0.562061
0.8,2.4,0.600318
0.8,2.5,0.587974
0.8,2.6,0.599073
0.8,2.7,0.620501
0.8,2.8,0.606873
0.8,2.9,0.603863
0.8,3.,0.629859
0.9,0.,1.
0.9,0.1,0.647837
0.9,0.2,0.602106
0.9,0.3,0.575401
0.9,0.4,0.583196
0.9,0.5,0.577314
0.9,0.6,0.57418
0.9,0.7,0.569257
0.9,0.8,0.560625
0.9,0.9,0.551553
0.9,1.,0.548896
0.9,1.1,0.556977
0.9,1.2,0.550654
0.9,1.3,0.544236
0.9,1.4,0.553712
0.9,1.5,0.553633
0.9,1.6,0.555287
0.9,1.7,0.557574
0.9,1.8,0.559355
0.9,1.9,0.5608
0.9,2.,0.56852
0.9,2.1,0.57196
0.9,2.2,0.5761
0.9,2.3,0.58056
0.9,2.4,0.582546
0.9,2.5,0.586463
0.9,2.6,0.589875
0.9,2.7,0.612367
0.9,2.8,0.608801
0.9,2.9,0.612352
0.9,3.,0.629521
1.,0.,1.
1.,0.1,0.674246
1.,0.2,0.605248
1.,0.3,0.600617
1.,0.4,0.583006
1.,0.5,0.56642
1.,0.6,0.571177
1.,0.7,0.572252
1.,0.8,0.56477
1.,0.9,0.56219
1.,1.,0.561716
1.,1.1,0.547679
1.,1.2,0.563799
1.,1.3,0.550881
1.,1.4,0.551812
1.,1.5,0.5564
1.,1.6,0.558456
1.,1.7,0.554329
1.,1.8,0.56423
1.,1.9,0.557895
1.,2.,0.572931
1.,2.1,0.569421
1.,2.2,0.575721
1.,2.3,0.578482
1.,2.4,0.599389
1.,2.5,0.579638
