"hz","J","pureza del caometro (indicador de Wisniacki)"
0.,0.,1.
0.,0.1,0.800024
0.,0.2,0.771468
0.,0.3,0.77538
0.,0.4,0.770101
0.,0.5,0.756162
0.,0.6,0.762046
0.,0.7,0.770038
0.,0.8,0.762005
0.,0.9,0.753498
0.,1.,0.749957
0.,1.1,0.749049
0.,1.2,0.740999
0.,1.3,0.740038
0.,1.4,0.742053
0.,1.5,0.740026
0.,1.6,0.737266
0.,1.7,0.732849
0.,1.8,0.738923
0.,1.9,0.735745
0.,2.,0.737337
0.,2.1,0.733802
0.,2.2,0.741152
0.,2.3,0.740956
0.,2.4,0.74142
0.,2.5,0.73471
0.,2.6,0.734466
0.,2.7,0.739525
0.,2.8,0.739492
0.,2.9,0.726993
0.,3.,0.736027
0.1,0.,1.
0.1,0.1,0.786838
0.1,0.2,0.780402
0.1,0.3,0.759815
0.1,0.4,0.76594
0.1,0.5,0.751223
0.1,0.6,0.746577
0.1,0.7,0.728591
0.1,0.8,0.727904
0.1,0.9,0.689345
0.1,1.,0.710845
0.1,1.1,0.701552
0.1,1.2,0.69894
0.1,1.3,0.705004
0.1,1.4,0.695229
0.1,1.5,0.699392
0.1,1.6,0.704871
0.1,1.7,0.695583
0.1,1.8,0.688706
0.1,1.9,0.696283
0.1,2.,0.697107
0.1,2.1,0.696178
0.1,2.2,0.697344
0.1,2.3,0.699725
0.1,2.4,0.70181
0.1,2.5,0.701271
0.1,2.6,0.692727
0.1,2.7,0.698928
0.1,2.8,0.703829
0.1,2.9,0.702101
0.1,3.,0.703841
0.2,0.,1.
0.2,0.1,0.788686
0.2,0.2,0.736932
0.2,0.3,0.742271
0.2,0.4,0.729314
0.2,0.5,0.711552
0.2,0.6,0.711997
0.2,0.7,0.707017
0.2,0.8,0.69527
0.2,0.9,0.696935
0.2,1.,0.691995
0.2,1.1,0.718143
0.2,1.2,0.693018
0.2,1.3,0.694834
0.2,1.4,0.690904
0.2,1.5,0.700658
0.2,1.6,0.689649
0.2,1.7,0.701839
0.2,1.8,0.698334
0.2,1.9,0.704953
0.2,2.,0.69929
0.2,2.1,0.708261
0.2,2.2,0.699022
0.2,2.3,0.702328
0.2,2.4,0.702276
0.2,2.5,0.700314
0.2,2.6,0.705998
0.2,2.7,0.719207
0.2,2.8,0.722595
0.2,2.9,0.714492
0.2,3.,0.71907
0.3,0.,1.
0.3,0.1,0.767086
0.3,0.2,0.74531
0.3,0.3,0.742416
0.3,0.4,0.71753
0.3,0.5,0.730838
0.3,0.6,0.718015
0.3,0.7,0.713858
0.3,0.8,0.695126
0.3,0.9,0.703014
0.3,1.,0.694246
0.3,1.1,0.702442
0.3,1.2,0.697815
0.3,1.3,0.693819
0.3,1.4,0.701273
0.3,1.5,0.696273
0.3,1.6,0.697896
0.3,1.7,0.693936
0.3,1.8,0.698104
0.3,1.9,0.69668
0.3,2.,0.713382
0.3,2.1,0.708967
0.3,2.2,0.716694
0.3,2.3,0.71624
0.3,2.4,0.722674
0.3,2.5,0.716728
0.3,2.6,0.71024
0.3,2.7,0.720497
0.3,2.8,0.707834
0.3,2.9,0.70931
0.3,3.,0.726695
0.4,0.,1.
0.4,0.1,0.776521
0.4,0.2,0.741922
0.4,0.3,0.717407
0.4,0.4,0.729835
0.4,0.5,0.735374
0.4,0.6,0.717084
0.4,0.7,0.714947
0.4,0.8,0.706612
0.4,0.9,0.699224
0.4,1.,0.694788
0.4,1.1,0.68997
0.4,1.2,0.688856
0.4,1.3,0.69833
0.4,1.4,0.700206
0.4,1.5,0.68467
0.4,1.6,0.696539
0.4,1.7,0.701148
0.4,1.8,0.699037
0.4,1.9,0.695815
0.4,2.,0.708127
0.4,2.1,0.707419
0.4,2.2,0.721202
0.4,2.3,0.719378
0.4,2.4,0.717741
0.4,2.5,0.718766
0.4,2.6,0.718123
0.4,2.7,0.726704
0.4,2.8,0.710146
0.4,2.9,0.717739
0.4,3.,0.742338
0.5,0.,1.
0.5,0.1,0.732199
0.5,0.2,0.74407
0.5,0.3,0.729424
0.5,0.4,0.730635
0.5,0.5,0.711903
0.5,0.6,0.723856
0.5,0.7,0.715804
0.5,0.8,0.703082
0.5,0.9,0.694809
0.5,1.,0.69105
0.5,1.1,0.699038
0.5,1.2,0.690251
0.5,1.3,0.699123
0.5,1.4,0.693389
0.5,1.5,0.693181
0.5,1.6,0.702472
0.5,1.7,0.695991
0.5,1.8,0.702709
0.5,1.9,0.695778
