"hz","J","pureza del caometro (indicador de Wisniacki)"
0.,0.,1.
0.,0.1,0.67394
0.,0.2,0.654267
0.,0.3,0.6528
0.,0.4,0.649036
0.,0.5,0.636743
0.,0.6,0.646153
0.,0.7,0.628453
0.,0.8,0.632811
0.,0.9,0.626206
0.,1.,0.624761
0.,1.1,0.619582
0.,1.2,0.616168
0.,1.3,0.617906
0.,1.4,0.619803
0.,1.5,0.620856
0.,1.6,0.626158
0.,1.7,0.621752
0.,1.8,0.627881
0.,1.9,0.626545
0.,2.,0.6179
0.,2.1,0.622266
0.,2.2,0.633644
0.,2.3,0.673922
0.,2.4,0.674226
0.,2.5,0.673581
0.,2.6,0.681683
0.,2.7,0.692875
0.,2.8,0.679822
0.,2.9,0.691856
0.,3.,0.696994
0.1,0.,1.
0.1,0.1,0.677901
0.1,0.2,0.661455
0.1,0.3,0.649121
0.1,0.4,0.638665
0.1,0.5,0.60066
0.1,0.6,0.571406
0.1,0.7,0.551531
0.1,0.8,0.549209
0.1,0.9,0.541394
0.1,1.,0.541443
0.1,1.1,0.539278
0.1,1.2,0.541719
0.1,1.3,0.537385
0.1,1.4,0.53792
0.1,1.5,0.548646
0.1,1.6,0.551691
0.1,1.7,0.559512
0.1,1.8,0.573472
0.1,1.9,0.593911
0.1,2.,0.603952
0.1,2.1,0.601198
0.1,2.2,0.615417
0.1,2.3,0.622648
0.1,2.4,0.635769
0.1,2.5,0.620298
0.1,2.6,0.629364
0.1,2.7,0.659434
0.1,2.8,0.612837
0.1,2.9,0.652284
0.1,3.,0.646887
0.2,0.,1.
0.2,0.1,0.669749
0.2,0.2,0.63971
0.2,0.3,0.610864
0.2,0.4,0.6011
0.2,0.5,0.566882
0.2,0.6,0.557016
0.2,0.7,0.545367
0.2,0.8,0.538331
0.2,0.9,0.529545
0.2,1.,0.534916
0.2,1.1,0.529184
0.2,1.2,0.52754
0.2,1.3,0.530603
0.2,1.4,0.536041
0.2,1.5,0.539919
0.2,1.6,0.54714
0.2,1.7,0.554219
0.2,1.8,0.576559
0.2,1.9,0.582973
0.2,2.,0.596927
0.2,2.1,0.623585
0.2,2.2,0.598881
0.2,2.3,0.612547
0.2,2.4,0.625345
0.2,2.5,0.649694
0.2,2.6,0.616264
0.2,2.7,0.652618
0.2,2.8,0.639058
0.2,2.9,0.630471
0.2,3.,0.66447
0.3,0.,1.
0.3,0.1,0.650677
0.3,0.2,0.610728
0.3,0.3,0.591829
0.3,0.4,0.567425
0.3,0.5,0.556066
0.3,0.6,0.542569
0.3,0.7,0.541302
0.3,0.8,0.532389
0.3,0.9,0.531974
0.3,1.,0.527753
0.3,1.1,0.529832
0.3,1.2,0.528822
0.3,1.3,0.532558
0.3,1.4,0.535053
0.3,1.5,0.537896
0.3,1.6,0.542137
0.3,1.7,0.558539
0.3,1.8,0.565325
0.3,1.9,0.568159
0.3,2.,0.583093
0.3,2.1,0.612492
0.3,2.2,0.596241
0.3,2.3,0.632692
0.3,2.4,0.619417
0.3,2.5,0.621608
0.3,2.6,0.631279
0.3,2.7,0.629538
0.3,2.8,0.651952
0.3,2.9,0.632591
0.3,3.,0.676406
0.4,0.,1.
0.4,0.1,0.628071
0.4,0.2,0.592284
0.4,0.3,0.571731
0.4,0.4,0.557898
0.4,0.5,0.54962
0.4,0.6,0.53889
0.4,0.7,0.536174
0.4,0.8,0.535413
0.4,0.9,0.5374
0.4,1.,0.528482
0.4,1.1,0.532711
0.4,1.2,0.52767
0.4,1.3,0.527527
0.4,1.4,0.530937
0.4,1.5,0.536113
0.4,1.6,0.541054
0.4,1.7,0.538776
0.4,1.8,0.545197
0.4,1.9,0.562981
0.4,2.,0.554317
0.4,2.1,0.600131
0.4,2.2,0.586928
0.4,2.3,0.605577
0.4,2.4,0.598439
0.4,2.5,0.63048
0.4,2.6,0.632618
0.4,2.7,0.639263
0.4,2.8,0.649435
0.4,2.9,0.650597
0.4,3.,0.667476
0.5,0.,1.
0.5,0.1,0.622128
0.5,0.2,0.590386
0.5,0.3,0.564483
0.5,0.4,0.554264
0.5,0.5,0.550518
0.5,0.6,0.543025
0.5,0.7,0.537678
0.5,0.8,0.53369
0.5,0.9,0.530994
0.5,1.,0.529525
0.5,1.1,0.527792
0.5,1.2,0.529767
0.5,1.3,0.526059
0.5,1.4,0.52957
0.5,1.5,0.532584
0.5,1.6,0.53654
0.5,1.7,0.54098
0.5,1.8,0.545377
0.5,1.9,0.549071
0.5,2.,0.558249
0.5,2.1,0.575608
0.5,2.2,0.572699
0.5,2.3,0.603428
0.5,2.4,0.607554
0.5,2.5,0.620978
0.5,2.6,0.637797
0.5,2.7,0.651228
0.5,2.8,0.642993
0.5,2.9,0.644387
0.5,3.,0.673639
0.6,0.,1.
0.6,0.1,0.631955
0.6,0.2,0.59274
0.6,0.3,0.574703
0.6,0.4,0.561679
0.6,0.5,0.55095
0.6,0.6,0.547926
0.6,0.7,0.538634
0.6,0.8,0.533737
0.6,0.9,0.535006
0.6,1.,0.534563
0.6,1.1,0.533202
0.6,1.2,0.531243
0.6,1.3,0.530543
0.6,1.4,0.533667
0.6,1.5,0.534761
0.6,1.6,0.533724
0.6,1.7,0.536922
0.6,1.8,0.538359
0.6,1.9,0.545598
0.6,2.,0.555276
0.6,2.1,0.559181
0.6,2.2,0.56509
0.6,2.3,0.577548
0.6,2.4,0.591197
0.6,2.5,0.602132
0.6,2.6,0.629053
0.6,2.7,0.624929
0.6,2.8,0.626656
0.6,2.9,0.650309
0.6,3.,0.630152
0.7,0.,1.
0.7,0.1,0.663352
0.7,0.2,0.604733
0.7,0.3,0.574518
0.7,0.4,0.560925
0.7,0.5,0.557332
0.7,0.6,0.545341
0.7,0.7,0.54688
0.7,0.8,0.538266
0.7,0.9,0.535082
0.7,1.,0.535345
0.7,1.1,0.535741
0.7,1.2,0.536058
0.7,1.3,0.533827
0.7,1.4,0.534744
0.7,1.5,0.536284
0.7,1.6,0.533952
0.7,1.7,0.542531
0.7,1.8,0.542087
0.7,1.9,0.544083
0.7,2.,0.561061
0.7,2.1,0.559303
0.7,2.2,0.559076
0.7,2.3,0.572105
0.7,2.4,0.588413
0.7,2.5,0.57968
0.7,2.6,0.591174
0.7,2.7,0.589323
0.7,2.8,0.616701
0.7,2.9,0.621525
0.7,3.,0.644478
0.8,0.,1.
0.8,0.1,0.640618
0.8,0.2,0.616407
0.8,0.3,0.56852
0.8,0.4,0.567261
0.8,0.5,0.560179
0.8,0.6,0.549442
0.8,0.7,0.544935
0.8,0.8,0.549639
0.8,0.9,0.530711
0.8,1.,0.534261
0.8,1.1,0.534227
0.8,1.2,0.537289
0.8,1.3,0.532808
0.8,1.4,0.531484
0.8,1.5,0.537584
0.8,1.6,0.533145
0.8,1.7,0.543452
0.8,1.8,0.540821
0.8,1.9,0.543218
0.8,2.,0.553289
0.8,2.1,0.553144
0.8,2.2,0.560689
0.8,2.3,0.567764
0.8,2.4,0.573854
0.8,2.5,0.576604
0.8,2.6,0.58972
0.8,2.7,0.604439
0.8,2.8,0.58649
0.8,2.9,0.625681
0.8,3.,0.645849
0.9,0.,1.
0.9,0.1,0.649465
0.9,0.2,0.594533
0.9,0.3,0.574642
0.9,0.4,0.563894
0.9,0.5,0.560048
0.9,0.6,0.56202
0.9,0.7,0.554997
0.9,0.8,0.559285
0.9,0.9,0.544055
0.9,1.,0.540664
0.9,1.1,0.538296
