hz,J,promedio temporal de 0 a 100 de la pureza del caometro
0.,0.,1.
0.,0.1,0.700959
0.,0.2,0.697273
0.,0.3,0.678278
0.,0.4,0.68668
0.,0.5,0.688678
0.,0.6,0.676403
0.,0.7,0.682298
0.,0.8,0.665043
0.,0.9,0.672776
0.,1.,0.667143
0.,1.1,0.664816
0.,1.2,0.656653
0.,1.3,0.656914
0.,1.4,0.658696
0.,1.5,0.655374
0.,1.6,0.655216
0.,1.7,0.661471
0.,1.8,0.658362
0.,1.9,0.6581
0.,2.,0.660438
0.,2.1,0.657229
0.,2.2,0.656635
0.,2.3,0.653357
0.,2.4,0.664487
0.,2.5,0.671458
0.,2.6,0.679413
0.,2.7,0.663779
0.,2.8,0.66118
0.,2.9,0.651106
0.,3.,0.652143
0.1,0.,1.
0.1,0.1,0.696297
0.1,0.2,0.686163
0.1,0.3,0.680453
0.1,0.4,0.677624
0.1,0.5,0.647615
0.1,0.6,0.628156
0.1,0.7,0.593934
0.1,0.8,0.602319
0.1,0.9,0.583274
0.1,1.,0.58228
0.1,1.1,0.582724
0.1,1.2,0.579914
0.1,1.3,0.578957
0.1,1.4,0.577403
0.1,1.5,0.582535
0.1,1.6,0.583959
0.1,1.7,0.594659
0.1,1.8,0.59695
0.1,1.9,0.604947
0.1,2.,0.610682
0.1,2.1,0.629347
0.1,2.2,0.610625
0.1,2.3,0.624845
0.1,2.4,0.633943
0.1,2.5,0.636534
0.1,2.6,0.639484
0.1,2.7,0.650615
0.1,2.8,0.636434
0.1,2.9,0.645403
0.1,3.,0.630311
0.2,0.,1.
0.2,0.1,0.706273
0.2,0.2,0.663357
0.2,0.3,0.659968
0.2,0.4,0.630186
0.2,0.5,0.614172
0.2,0.6,0.604753
0.2,0.7,0.584891
0.2,0.8,0.578825
0.2,0.9,0.586349
0.2,1.,0.570196
0.2,1.1,0.578378
0.2,1.2,0.57571
0.2,1.3,0.574958
0.2,1.4,0.58347
0.2,1.5,0.588261
0.2,1.6,0.585668
0.2,1.7,0.599962
0.2,1.8,0.598857
0.2,1.9,0.59119
0.2,2.,0.605824
0.2,2.1,0.598994
0.2,2.2,0.603817
0.2,2.3,0.619697
0.2,2.4,0.620655
0.2,2.5,0.629174
0.2,2.6,0.624953
0.2,2.7,0.618064
0.2,2.8,0.625453
0.2,2.9,0.636319
0.2,3.,0.628197
0.3,0.,1.
0.3,0.1,0.689545
0.3,0.2,0.643785
0.3,0.3,0.631009
0.3,0.4,0.629549
0.3,0.5,0.5959
0.3,0.6,0.597999
0.3,0.7,0.58414
0.3,0.8,0.572635
0.3,0.9,0.57165
0.3,1.,0.575128
0.3,1.1,0.572483
