hz,J,promedio temporal de 0 a 100 de la pureza del caometro
0.7,0.2,0.715029
0.7,0.3,0.660898
0.7,0.4,0.651189
0.7,0.5,0.649771
0.7,0.6,0.6341
0.7,0.7,0.622999
0.7,0.8,0.63184
0.7,0.9,0.614081
0.7,1.,0.62139
0.7,1.1,0.620983
0.7,1.2,0.623163
0.7,1.3,0.619274
0.7,1.4,0.619305
0.7,1.5,0.634014
0.7,1.6,0.618087
0.7,1.7,0.632979
0.7,1.8,0.628447
0.7,1.9,0.633055
0.7,2.,0.638314
0.7,2.1,0.62883
0.7,2.2,0.636282
0.7,2.3,0.642969
0.7,2.4,0.65306
0.7,2.5,0.670237
0.7,2.6,0.652923
0.7,2.7,0.653488
0.7,2.8,0.680063
0.7,2.9,0.664142
0.7,3.,0.670474
0.8,0.,1.
0.8,0.1,0.69371
0.8,0.2,0.68176
0.8,0.3,0.661045
0.8,0.4,0.645716
0.8,0.5,0.658682
0.8,0.6,0.657881
0.8,0.7,0.626059
0.8,0.8,0.622321
0.8,0.9,0.629784
0.8,1.,0.623567
0.8,1.1,0.623418
0.8,1.2,0.622095
0.8,1.3,0.627261
0.8,1.4,0.624956
0.8,1.5,0.627333
0.8,1.6,0.630716
0.8,1.7,0.622775
0.8,1.8,0.630545
0.8,1.9,0.631467
0.8,2.,0.638358
0.8,2.1,0.648973
0.8,2.2,0.653009
0.8,2.3,0.645794
0.8,2.4,0.64471
0.8,2.5,0.650395
0.8,2.6,0.657729
0.8,2.7,0.670902
0.8,2.8,0.658707
0.8,2.9,0.667444
0.8,3.,0.654158
0.9,0.,1.
0.9,0.1,0.691033
0.9,0.2,0.64647
0.9,0.3,0.656556
0.9,0.4,0.64487
0.9,0.5,0.637276
0.9,0.6,0.646262
0.9,0.7,0.649076
0.9,0.8,0.636667
0.9,0.9,0.630114
0.9,1.,0.62392
0.9,1.1,0.624686
0.9,1.2,0.62449
0.9,1.3,0.628934
0.9,1.4,0.623424
0.9,1.5,0.632253
0.9,1.6,0.634149
0.9,1.7,0.6274
0.9,1.8,0.6242
0.9,1.9,0.642355
0.9,2.,0.642458
0.9,2.1,0.634675
0.9,2.2,0.635284
0.9,2.3,0.636804
0.9,2.4,0.635818
0.9,2.5,0.637862
0.9,2.6,0.645041
0.9,2.7,0.649298
0.9,2.8,0.674778
0.9,2.9,0.6735
0.9,3.,0.675109
1.,0.,1.
1.,0.1,0.69117
1.,0.2,0.655758
1.,0.3,0.651809
1.,0.4,0.656284
1.,0.5,0.655303
1.,0.6,0.650063
1.,0.7,0.636572
1.,0.8,0.63742
1.,0.9,0.62565
1.,1.,0.626861
1.,1.1,0.622946
1.,1.2,0.627417
1.,1.3,0.624315
1.,1.4,0.638052
1.,1.5,0.621642
1.,1.6,0.630295
1.,1.7,0.635873
1.,1.8,0.646643
1.,1.9,0.624838
1.,2.,0.647208
1.,2.1,0.646983
1.,2.2,0.633468
1.,2.3,0.642034
1.,2.4,0.66314
1.,2.5,0.656219
1.,2.6,0.64467
1.,2.7,0.647903
1.,2.8,0.660453
1.,2.9,0.653883
1.,3.,0.649277
1.1,0.,1.
1.1,0.1,0.690325
1.1,0.2,0.675016
1.1,0.3,0.65903
1.1,0.4,0.651851
1.1,0.5,0.639022
1.1,0.6,0.645227
1.1,0.7,0.634167
1.1,0.8,0.65133
1.1,0.9,0.641563
1.1,1.,0.637547
1.1,1.1,0.639266
1.1,1.2,0.632037
1.1,1.3,0.623104
1.1,1.4,0.6312
1.1,1.5,0.631071
1.1,1.6,0.625187
1.1,1.7,0.636427
1.1,1.8,0.635194
1.1,1.9,0.640065
1.1,2.,0.638349
1.1,2.1,0.638045
1.1,2.2,0.648394
1.1,2.3,0.644521
1.1,2.4,0.647629
1.1,2.5,0.6498
1.1,2.6,0.647388
1.1,2.7,0.671291
1.1,2.8,0.645888
1.1,2.9,0.67153
1.1,3.,0.660865
1.2,0.,1.
1.2,0.1,0.706532
1.2,0.2,0.675978
1.2,0.3,0.648294
1.2,0.4,0.652527
1.2,0.5,0.649268
1.2,0.6,0.644807
1.2,0.7,0.655701
1.2,0.8,0.636878
1.2,0.9,0.651925
1.2,1.,0.640158
1.2,1.1,0.635688
1.2,1.2,0.62403
1.2,1.3,0.629818
1.2,1.4,0.62172
1.2,1.5,0.628725
1.2,1.6,0.631907
1.2,1.7,0.627783
1.2,1.8,0.634823
1.2,1.9,0.638591
1.2,2.,0.641369
1.2,2.1,0.651037
1.2,2.2,0.653702
1.2,2.3,0.651364
1.2,2.4,0.659561
1.2,2.5,0.652336
1.2,2.6,0.658829
1.2,2.7,0.642178
1.2,2.8,0.676086
1.2,2.9,0.646755
1.2,3.,0.655047
1.3,0.,1.
1.3,0.1,0.711838
1.3,0.2,0.687459
1.3,0.3,0.668447
1.3,0.4,0.681572
1.3,0.5,0.67027
1.3,0.6,0.655257
1.3,0.7,0.65222
1.3,0.8,0.652394
1.3,0.9,0.646967
1.3,1.,0.643854
1.3,1.1,0.637839
1.3,1.2,0.645
1.3,1.3,0.630296
1.3,1.4,0.629459
1.3,1.5,0.63693
1.3,1.6,0.628283
1.3,1.7,0.628881
1.3,1.8,0.648912
1.3,1.9,0.63237
1.3,2.,0.634497
1.3,2.1,0.642237
1.3,2.2,0.644215
1.3,2.3,0.634081
1.3,2.4,0.648069
1.3,2.5,0.646383
1.3,2.6,0.647272
1.3,2.7,0.638191
1.3,2.8,0.657027
1.3,2.9,0.652698
1.3,3.,0.656282
1.4,0.,1.
1.4,0.1,0.729078
1.4,0.2,0.688197
1.4,0.3,0.677307
1.4,0.4,0.677759
1.4,0.5,0.673179
1.4,0.6,0.664313
1.4,0.7,0.671887
1.4,0.8,0.636727
1.4,0.9,0.651411
1.4,1.,0.657388
1.4,1.1,0.640062
1.4,1.2,0.637878
1.4,1.3,0.646757
1.4,1.4,0.634025
1.4,1.5,0.635927
1.4,1.6,0.633687
1.4,1.7,0.61922
1.4,1.8,0.650674
1.4,1.9,0.642544
1.4,2.,0.633439
1.4,2.1,0.645805
