"L=11;{hx,hz,J}={1.,0.5,ConstantArray[1.,L-1]};SeedRandom[32371];ψ0E=Table[RandomChainProductState[L-1],3];Superoperator[t,ψ0E[[2]],eigenvalsH,eigenvecsH,L];"
"{0.9999000085126485 + 0.*I, 0.0000806950109454221 + 0.00999829593701053*I, 0.0000806950109454221 - 0.00999829593701053*I, 0.00009999148736969324 + 0.*I}","{0.0000800667036729097 + 0.009998299078660507*I, 0.9995892671550456 - 0.016074105643250135*I, 0.00009999148713299566 + 6.292137964346708*^-9*I, -0.00008006498486557307 - 0.009998299087293796*I}","{0.0000800667036729097 - 0.009998299078660507*I, 0.00009999148713299566 - 6.292137964346708*^-9*I, 0.9995892671550456 + 0.016074105643250135*I, -0.00008006498486557307 + 0.009998299087293796*I}","{0.00009999148734069772 + 0.*I, -0.00008069501094043473 - 0.009998295937014894*I, -0.00008069501094043473 + 0.009998295937014894*I, 0.9999000085126037 + 0.*I}"
"{0.9998554737947315 + 0.*I, 0.00011644936372527684 + 0.012019684771217308*I, 0.00011644936372527684 - 0.012019684771217308*I, 0.00014452620534470735 + 0.*I}","{0.00011535683913243606 + 0.012019691339069022*I, 0.9994068941356233 - 0.019277216534212924*I, 0.00014452620463037644 + 1.3157711047791017*^-8*I, -0.00011535330371601418 - 0.012019691360449586*I}","{0.00011535683913243606 - 0.012019691339069022*I, 0.00014452620463037644 - 1.3157711047791017*^-8*I, 0.9994068941356233 + 0.019277216534212924*I, -0.00011535330371601418 + 0.012019691360449586*I}","{0.00014452620525805065 + 0.*I, -0.00011644936372028334 - 0.012019684771221641*I, -0.00011644936372028334 + 0.012019684771221641*I, 0.9998554737946288 + 0.*I}"
"{0.999791107482997 + 0.*I, 0.0001679871071550518 + 0.014449258246042799*I, 0.0001679871071550518 - 0.014449258246042799*I, 0.00020889251725042616 + 0.*I}","{0.00016608719516267542 + 0.014449271978086238*I, 0.9991437275183799 - 0.023106080698762098*I, 0.00020889251509516326 + 2.751875661808777*^-8*I, -0.00016607994893649136 - 0.014449272030853272*I}","{0.00016608719516267542 - 0.014449271978086238*I, 0.00020889251509516326 - 2.751875661808777*^-8*I, 0.9991437275183799 + 0.023106080698762098*I, -0.00016607994893649136 + 0.014449272030853272*I}","{0.00020889251699242762 + 0.*I, -0.00016798710714999656 - 0.014449258246047064*I, -0.00016798710714999656 + 0.014449258246047064*I, 0.9997911074827234 + 0.*I}"
"{0.9996980822454007 + 0.*I, 0.0002422305410094931 + 0.017369084737955086*I, 0.0002422305410094931 - 0.017369084737955086*I, 0.00030191775535377656 + 0.*I}","{0.00023892621056238327 + 0.017369113452314552*I, 0.9987641180295297 - 0.027676910327016208*I, 0.00030191774885254005 + 5.75641612081883*^-8*I, -0.0002389114248072609 - 0.017369113582000932*I}","{0.00023892621056238327 - 0.017369113452314552*I, 0.00030191774885254005 - 5.75641612081883*^-8*I, 0.9987641180295297 + 0.027676910327016208*I, -0.0002389114248072609 + 0.017369113582000932*I}","{0.0003019177545885898 + 0.*I, -0.00024223054100444883 - 0.017369084737959263*I, -0.00024223054100444883 + 0.017369084737959263*I, 0.9996980822446204 + 0.*I}"
"{0.9995636456946377 + 0.*I, 0.00034910263577520874 + 0.020877470526811017*I, 0.00034910263577520874 - 0.020877470526811017*I, 0.0004363543076105325 + 0.*I}","{0.0003433550576074867 + 0.020877530577890387*I, 0.9982168010103853 - 0.03312445118439011*I, 0.000436354288005343 + 1.2043662851950954*^-7*I, -0.0003433250583163768 - 0.020877530894965093*I}","{0.0003433550576074867 - 0.020877530577890387*I, 0.000436354288005343 - 1.2043662851950954*^-7*I, 0.9982168010103853 + 0.03312445118439011*I, -0.0003433250583163768 + 0.020877530894965093*I}","{0.00043635430535114293 + 0.*I, -0.00034910263577012443 - 0.020877470526815194*I, -0.00034910263577012443 + 0.020877470526815194*I, 0.9995636456923639 + 0.*I}"
"{0.9993693795720346 + 0.*I, 0.0005027994390879644 + 0.025091979668284137*I, 0.0005027994390879644 - 0.025091979668284137*I, 0.0006306204345897525 + 0.*I}","{0.0004928008311436917 + 0.025092105272668294*I, 0.997428150367823 - 0.039603263343601966*I, 0.0006306203754881164 + 2.5203141399018946*^-7*I, -0.0004927404072511883 - 0.0250921060427598*I}","{0.0004928008311436917 - 0.025092105272668294*I, 0.0006306203754881164 - 2.5203141399018946*^-7*I, 0.997428150367823 + 0.039603263343601966*I, -0.0004927404072511883 + 0.0250921060427598*I}","{0.0006306204279547398 + 0.*I, -0.000502799439082885 - 0.025091979668288203*I, -0.000502799439082885 + 0.025091979668288203*I, 0.9993693795653851 + 0.*I}"
"{0.9990886916531173 + 0.*I, 0.0007235785890531412 + 0.030152872245573982*I, 0.0007235785890531412 - 0.030152872245573982*I, 0.0009113083662216173 + 0.*I}","{0.0007061827327770247 + 0.030153135002073794*I, 0.9962925978042371 - 0.04728798819430195*I, 0.0009113081881293376 + 5.275260531083769*^-7*I, -0.0007060621837593813 - 0.030153136856368532*I}","{0.0007061827327770247 - 0.030153135002073794*I, 0.0009113081881293376 - 5.275260531083769*^-7*I, 0.9962925978042371 + 0.04728798819430195*I, -0.0007060621837593813 + 0.030153136856368532*I}","{0.0009113083468719613 + 0.*I, -0.0007235785890480497 - 0.030152872245577927*I, -0.0007235785890480497 + 0.030152872245577927*I, 0.9990886916337537 + 0.*I}"
"{0.9986832073444531 + 0.*I, 0.001040253013250492 + 0.03622690684034456*I, 0.001040253013250492 - 0.03622690684034456*I, 0.0013167927114580507 + 0.*I}","{0.0010099841383832695 + 0.03622745659030801*I, 0.9946590964001205 - 0.056371716995608404*I, 0.0013167921750937685 + 1.1043937919677807*^-6*I, -0.0010097466773847513 - 0.03622746100462081*I}","{0.0010099841383832695 - 0.03622745659030801*I, 0.0013167921750937685 - 1.1043937919677807*^-6*I, 0.9946590964001205 + 0.056371716995608404*I, -0.0010097466773847513 + 0.03622746100462081*I}","{0.0013167926555359118 + 0.*I, -0.0010402530132452867 - 0.036226906840348405*I, -0.0010402530132452867 + 0.036226906840348405*I, 0.9986832072885177 + 0.*I}"
"{0.9980975889133799 + 0.*I, 0.001493629525062503 + 0.043511343564526905*I, 0.001493629525062503 - 0.043511343564526905*I, 0.0019024112463042891 + 0.*I}","{0.0014409582130409343 + 0.043512493918785144*I, 0.9923121293121913 - 0.06706102880358285*I, 0.0019024096320180651 + 2.312504414897548*^-6*I, -0.0014404985421719832 - 0.04351250426627516*I}","{0.0014409582130409343 - 0.043512493918785144*I, 0.0019024096320180651 - 2.312504414897548*^-6*I, 0.9923121293121913 + 0.06706102880358285*I, -0.0014404985421719832 + 0.04351250426627516*I}","{0.001902411086608989 + 0.*I, -0.0014936295250573065 - 0.04351134356453068*I, -0.0014936295250573065 + 0.04351134356453068*I, 0.9980975887536722 + 0.*I}"
"{0.9972521191490261 + 0.*I, 0.002141177056645873 + 0.05223778436954427*I, 0.002141177056645873 - 0.05223778436954427*I, 0.002747881299621143 + 0.*I}","{0.0020495238115672307 + 0.05224019168619674*I, 0.9889453227170468 - 0.07956541504553644*I, 0.002747876445356588 + 4.842743155805473*^-6*I, -0.0020486557845274954 - 0.0522402154221088*I}","{0.0020495238115672307 - 0.05224019168619674*I, 0.002747876445356588 - 4.842743155805473*^-6*I, 0.9889453227170468 + 0.07956541504553644*I, -0.0020486557845274954 + 0.0522402154221088*I}","{0.0027478808509621803 + 0.*I, -0.0021411770566406806 - 0.052237784369547985*I, -0.0021411770566406806 + 0.052237784369547985*I, 0.9972521187003558 + 0.*I}"
