"L=11;{hx,hz,J}={1.,0.5,ConstantArray[1.,L-1]};SeedRandom[32371];ψ0E=Table[RandomChainProductState[L-1],3];Superoperator[t,ψ0E[[3]],eigenvalsH,eigenvecsH,L];"
"{0.9999999999999685, 0, 0, 0}","{0, 0.999999999999986, 0, 0}","{0, 0, 0.999999999999986, 0}","{0, 0, 0, 1.0000000000000036}"
"{0.38826099589747276, -0.0424413806713266 + 0.18750252688177366*I, -0.0424413806713266 - 0.18750252688177366*I, 0.5870605292798357}","{-0.05520273166371434 + 0.22671657157332173*I, 0.007437419206257463 + 0.24878774239473594*I, 0.4650630773141742 + 0.11919070151756178*I, -0.0017595029275740276 - 0.18010091807508238*I}","{-0.05520273166371434 - 0.22671657157332173*I, 0.4650630773141742 - 0.11919070151756178*I, 0.007437419206257463 - 0.24878774239473594*I, -0.0017595029275740276 + 0.18010091807508238*I}","{0.6117390041025195, 0.042441380671328535 - 0.18750252688176908*I, 0.042441380671328535 + 0.18750252688176908*I, 0.4129394707201397}"
"{0.3498645492201009, -0.07663219543936406 + 0.1423203389663949*I, -0.07663219543936406 - 0.1423203389663949*I, 0.6169262880089847}","{-0.04125227992356954 + 0.15506343684935237*I, 0.004022417236826642 + 0.21071770791608346*I, 0.44558411486462607 + 0.09904528528390551*I, 0.015576598110685125 - 0.11952520721678281*I}","{-0.04125227992356954 - 0.15506343684935237*I, 0.44558411486462607 - 0.09904528528390551*I, 0.004022417236826642 - 0.21071770791608346*I, 0.015576598110685125 + 0.11952520721678281*I}","{0.650135450779892, 0.07663219543936882 - 0.14232033896639246*I, 0.07663219543936882 + 0.14232033896639246*I, 0.38307371199099566}"
"{0.3270398979712038, -0.10338400461800037 + 0.1000087206410645*I, -0.10338400461800037 - 0.1000087206410645*I, 0.6354994501340665}","{-0.014670963295188744 + 0.0714038022460344*I, 0.004096310179413878 + 0.15433097518874755*I, 0.40501686229147754 + 0.06698415969438615*I, 0.036924544033009085 - 0.06828301154312902*I}","{-0.014670963295188744 - 0.0714038022460344*I, 0.40501686229147754 - 0.06698415969438615*I, 0.004096310179413878 - 0.15433097518874755*I, 0.036924544033009085 + 0.06828301154312902*I}","{0.6729601020287861, 0.1033840046180062 - 0.10000872064106414*I, 0.1033840046180062 + 0.10000872064106414*I, 0.3645005498659182}"
"{0.3218821481814772, -0.12032793733058894 + 0.06282453934849934*I, -0.12032793733058894 - 0.06282453934849934*I, 0.6451936025267175}","{0.019868311204806338 - 0.02086889979415138*I, 0.006948796253282943 + 0.09032494825876829*I, 0.34655809486954464 + 0.02550003591950656*I, 0.055743600628452974 - 0.03119946309872708*I}","{0.019868311204806338 + 0.02086889979415138*I, 0.34655809486954464 - 0.02550003591950656*I, 0.006948796253282943 - 0.09032494825876829*I, 0.055743600628452974 + 0.03119946309872708*I}","{0.6781178518185056, 0.12032793733059263 - 0.06282453934849899*I, 0.12032793733059263 + 0.06282453934849899*I, 0.35480639747326803}"
"{0.3355963496250877, -0.12640279160753048 + 0.032664173605394003*I, -0.12640279160753048 - 0.032664173605394003*I, 0.6489616427964846}","{0.05526681532757252 - 0.11619910692714008*I, 0.014032954234656322 + 0.0283222570926493*I, 0.2750091139440345 - 0.02246350291967039*I, 0.06363106983530065 - 0.00869665992423551*I}","{0.05526681532757252 + 0.11619910692714008*I, 0.2750091139440345 + 0.02246350291967039*I, 0.014032954234656322 - 0.0283222570926493*I, 0.06363106983530065 + 0.00869665992423551*I}","{0.6644036503748867, 0.12640279160753035 - 0.03266417360539101*I, 0.12640279160753035 + 0.03266417360539101*I, 0.35103835720350135}"
"{0.3680525161614705, -0.1216880538222913 + 0.011096628748722526*I, -0.1216880538222913 - 0.011096628748722526*I, 0.6493819371528726}","{0.08342683556909024 - 0.20683411787632433*I, 0.027764888705242234 - 0.02499759280588343*I, 0.196120918637557 - 0.07357695981226398*I, 0.053741897671137934 + 0.003263398116101303*I}","{0.08342683556909024 + 0.20683411787632433*I, 0.196120918637557 + 0.07357695981226398*I, 0.027764888705242234 + 0.02499759280588343*I, 0.053741897671137934 - 0.003263398116101303*I}","{0.6319474838384975, 0.1216880538222893 - 0.011096628748716834*I, 0.1216880538222893 + 0.011096628748716834*I, 0.35061806284711683}"
"{0.41739473959399154, -0.10709627689687011 - 0.0006827657287742928*I, -0.10709627689687011 + 0.0006827657287742928*I, 0.6478949436748952}","{0.09727164119348794 - 0.2834288256080524*I, 0.04983326736782615 - 0.06696468125944177*I, 0.11591334067583794 - 0.12389742708185927*I, 0.02388833812685584 + 0.011656451996318443*I}","{0.09727164119348794 + 0.2834288256080524*I, 0.11591334067583794 + 0.12389742708185927*I, 0.04983326736782615 + 0.06696468125944177*I, 0.02388833812685584 - 0.011656451996318443*I}","{0.5826052604059742, 0.10709627689686968 + 0.0006827657287807772*I, 0.10709627689686968 - 0.0006827657287807772*I, 0.35210505632510086}"
"{0.47984323747118335, -0.08404050253082124 - 0.0020088995636081686*I, -0.08404050253082124 + 0.0020088995636081686*I, 0.6444617479536057}","{0.0928310808970918 - 0.3363635088768434*I, 0.0795595920928851 - 0.09874518937419854*I, 0.04014397705661059 - 0.16872311550994662*I, -0.022049018541870462 + 0.02383396571415415*I}","{0.0928310808970918 + 0.3363635088768434*I, 0.04014397705661059 + 0.16872311550994662*I, 0.0795595920928851 + 0.09874518937419854*I, -0.022049018541870462 - 0.02383396571415415*I}","{0.5201567625287842, 0.08404050253082432 + 0.0020088995636143026*I, 0.08404050253082432 - 0.0020088995636143026*I, 0.3555382520463953}"
"{0.5498187520282509, -0.054179962648300245 + 0.00700542100575275*I, -0.054179962648300245 - 0.00700542100575275*I, 0.6377615555243745}","{0.07069878037562131 - 0.3575971232496047*I, 0.11298684303736889 - 0.12388531137724568*I, -0.025995732125310797 - 0.202883479016109*I, -0.07498782324025846 + 0.04486627855959491*I}","{0.07069878037562131 + 0.3575971232496047*I, -0.025995732125310797 + 0.202883479016109*I, 0.11298684303736889 + 0.12388531137724568*I, -0.07498782324025846 - 0.04486627855959491*I}","{0.4501812479717205, 0.054179962648307586 - 0.007005421005745889*I, 0.054179962648307586 + 0.007005421005745889*I, 0.36223844447562803}"
"{0.6204570442128344, -0.01930063602204586 + 0.02521052202841941*I, -0.01930063602204586 - 0.02521052202841941*I, 0.6258489500714028}","{0.03628074879034804 - 0.3426271299910335*I, 0.14320037990101658 - 0.14605607975859525*I, -0.07801455759865063 - 0.22157519063363273*I, -0.12339468546136534 + 0.07573815041214739*I}","{0.03628074879034804 + 0.3426271299910335*I, -0.07801455759865063 + 0.22157519063363273*I, 0.14320037990101658 + 0.14605607975859525*I, -0.12339468546136534 - 0.07573815041214739*I}","{0.3795429557871405, 0.019300636022057123 - 0.025210522028411123*I, 0.019300636022057123 + 0.025210522028411123*I, 0.3741510499286015}"
"{0.6844792120997822, 0.01867720172510469 + 0.05027033097706875*I, 0.01867720172510469 - 0.05027033097706875*I, 0.6070341719551369}","{-0.0013737750186347403 - 0.2919923374175414*I, 0.16193769829977542 - 0.16686061511560246*I, -0.1122381243059796 - 0.22153295954763444*I, -0.15679770712306743 + 0.11297525585021498*I}","{-0.0013737750186347403 + 0.2919923374175414*I, -0.1122381243059796 + 0.22153295954763444*I, 0.16193769829977542 + 0.16686061511560246*I, -0.15679770712306743 - 0.11297525585021498*I}","{0.3155207879001947, -0.01867720172509054 - 0.05027033097706033*I, -0.01867720172509054 + 0.05027033097706033*I, 0.392965828044871}"
"{0.7352729890416276, 0.057629111404763594 + 0.07873807120177381*I, 0.057629111404763594 - 0.07873807120177381*I, 0.580688250561206}","{-0.031887068512220396 - 0.21181020344386461*I, 0.1620200224205437 - 0.18458736547919982*I, -0.12605835326533998 - 0.20209781891594095*I, -0.16874977456284213 + 0.14972663709789352*I}","{-0.031887068512220396 + 0.21181020344386461*I, -0.12605835326533998 + 0.20209781891594095*I, 0.1620200224205437 + 0.18458736547919982*I, -0.16874977456284213 - 0.14972663709789352*I}","{0.26472701095835105, -0.05762911140474846 - 0.07873807120176717*I, -0.05762911140474846 + 0.07873807120176717*I, 0.4193117494388041}"
