"L=11;{hx,hz,J}={1.,0.5,ConstantArray[1.,L-1]};SeedRandom[32371];ψ0E=Table[RandomChainProductState[L-1],3];Superoperator[t,ψ0E[[1]],eigenvalsH,eigenvecsH,L];"
"{1.0000000000000344 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0.}","{0. + 0.*I, 1.0000000000000127 + 1.9931255755362165*^-16*I, 0., 0. + 0.*I}","{0. + 0.*I, 0., 1.0000000000000127 - 1.9931255755362165*^-16*I, 0. + 0.*I}","{0., 0. + 0.*I, 0. + 0.*I, 0.9999999999999909 + 0.*I}"
"{0.9900842685646124 + 0.*I, 0.00810190623188838 + 0.0983028136081121*I, 0.00810190623188838 - 0.0983028136081121*I, 0.009915670281627258 + 0.*I}","{0.007486202642141259 + 0.09833371894777401*I, 0.959675840181542 - 0.15408239530898438*I, 0.0099154805454361 + 0.00006015161593309588*I, -0.007523458099507489 - 0.0983318659447138*I}","{0.007486202642141259 - 0.09833371894777401*I, 0.0099154805454361 - 0.00006015161593309588*I, 0.959675840181542 + 0.15408239530898438*I, -0.007523458099507489 + 0.0983318659447138*I}","{0.00991573143542409 + 0.*I, -0.008101906231865458 - 0.09830281360808599*I, -0.008101906231865458 + 0.09830281360808599*I, 0.9900843297183621 + 0.*I}"
"{0.9612817780145706 + 0.*I, 0.028867679507142956 + 0.187042189682827*I, 0.028867679507142956 - 0.187042189682827*I, 0.038714159839522304 + 0.*I}","{0.023976591378485887 + 0.18753902807659076*I, 0.8512618406577943 - 0.25125721484794894*I, 0.03870244252987646 + 0.0009443869755778358*I, -0.024590968924906878 - 0.18747780117885177*I}","{0.023976591378485887 - 0.18753902807659076*I, 0.03870244252987646 - 0.0009443869755778358*I, 0.8512618406577943 + 0.25125721484794894*I, -0.024590968924906878 + 0.18747780117885177*I}","{0.0387182219854663 + 0.*I, -0.028867679507121883 - 0.1870421896827985*I, -0.028867679507121883 + 0.1870421896827985*I, 0.9612858401604654 + 0.*I}"
"{0.9161092555275459 + 0.*I, 0.05582901759850865 + 0.25880958061900206*I, 0.05582901759850865 - 0.25880958061900206*I, 0.08384483589045058 + 0.*I}","{0.040148552045923463 + 0.2612476695376635*I, 0.699066113939975 - 0.28150366420990713*I, 0.08371745936595526 + 0.004552382293362342*I, -0.043147592999896706 - 0.2607955041022757*I}","{0.040148552045923463 - 0.2612476695376635*I, 0.08371745936595526 - 0.004552382293362342*I, 0.699066113939975 + 0.28150366420990713*I, -0.043147592999896706 + 0.2607955041022757*I}","{0.08389074447248987 + 0.*I, -0.055829017598489974 - 0.2588095806189721*I, -0.055829017598489974 + 0.2588095806189721*I, 0.9161551641095356 + 0.*I}"
"{0.8580289539328694 + 0.*I, 0.08192896588999249 + 0.30915605123790235*I, 0.08192896588999249 - 0.30915605123790235*I, 0.14172629802036157 + 0.*I}","{0.048215744678555925 + 0.31635829460567255*I, 0.5304730179463072 - 0.2474292819029945*I, 0.14104964971810474 + 0.013330234475437786*I, -0.05675944914472118 - 0.3146144802439032*I}","{0.048215744678555925 - 0.31635829460567255*I, 0.14104964971810474 - 0.013330234475437786*I, 0.5304730179463072 + 0.2474292819029945*I, -0.05675944914472118 + 0.3146144802439032*I}","{0.14197104606716437 + 0.*I, -0.08192896588997606 - 0.30915605123787177*I, -0.08192896588997606 + 0.30915605123787177*I, 0.8582737019796245 + 0.*I}"
"{0.7908299001822006 + 0.*I, 0.10069982743769859 + 0.3367524124696763*I, 0.10069982743769859 - 0.3367524124696763*I, 0.20832360060074012 + 0.*I}","{0.04392700541922953 + 0.35256905427021157*I, 0.3709629753697598 - 0.16246828808381522*I, 0.20590349210756936 + 0.029403370913383235*I, -0.06143557359795872 - 0.34800346268713134*I}","{0.04392700541922953 - 0.35256905427021157*I, 0.20590349210756936 - 0.029403370913383235*I, 0.3709629753697598 + 0.16246828808381522*I, -0.06143557359795872 + 0.34800346268713134*I}","{0.20917009981783086 + 0.*I, -0.1006998274376833 - 0.336752412469645*I, -0.1006998274376833 + 0.336752412469645*I, 0.7916763993992486 + 0.*I}"
"{0.7181650865779083 + 0.*I, 0.10725792692010104 + 0.34306118741863206*I, 0.10725792692010104 - 0.34306118741863206*I, 0.2796497601424523 + 0.*I}","{0.02755515328170357 + 0.37133991981081493*I, 0.24014511615865847 - 0.04746132852121676*I, 0.2729296162670178 + 0.05378947338468565*I, -0.05570692302186299 - 0.362277485205989*I}","{0.02755515328170357 - 0.37133991981081493*I, 0.2729296162670178 - 0.05378947338468565*I, 0.24014511615865847 + 0.04746132852121676*I, -0.05570692302186299 + 0.362277485205989*I}","{0.2818349134221203 + 0.*I, -0.10725792692008594 - 0.34306118741859953*I, -0.10725792692008594 + 0.34306118741859953*I, 0.7203502398575421 + 0.*I}"
"{0.643323644857841 + 0.*I, 0.09897563693159918 + 0.3316514085546202*I, 0.09897563693159918 - 0.3316514085546202*I, 0.3521524658955388 + 0.*I}","{0.0036774636927128374 + 0.37464406991787425*I, 0.14926748431016892 + 0.07360596350915913*I, 0.3365337955043247 + 0.08585140649067528*I, -0.040473784800458296 - 0.3603457020360662*I}","{0.0036774636927128374 - 0.37464406991787425*I, 0.3365337955043247 - 0.08585140649067528*I, 0.14926748431016892 - 0.07360596350915913*I, -0.040473784800458296 + 0.3603457020360662*I}","{0.356676355142184 + 0.*I, -0.09897563693158454 - 0.33165140855458647*I, -0.09897563693158454 + 0.33165140855458647*I, 0.6478475341044629 + 0.*I}"
"{0.5692422696244535 + 0.*I, 0.07575454063081197 + 0.30731671320930753*I, 0.07575454063081197 - 0.30731671320930753*I, 0.4229528027959134 + 0.*I}","{-0.020198102626401412 + 0.3638843895014004*I, 0.10042907842525478 + 0.17803442641362924*I, 0.3912083071309976 + 0.12302401448890156*I, -0.018901819604215345 - 0.34587732879453226*I}","{-0.020198102626401412 - 0.3638843895014004*I, 0.3912083071309976 - 0.12302401448890156*I, 0.10042907842525478 - 0.17803442641362924*I, -0.018901819604215345 + 0.34587732879453226*I}","{0.430757730375567 + 0.*I, -0.07575454063079792 - 0.3073167132092746*I, -0.07575454063079792 + 0.3073167132092746*I, 0.577047197204096 + 0.*I}"
"{0.49868896004459506 + 0.*I, 0.039886455764429576 + 0.27516694024437216*I, 0.039886455764429576 - 0.27516694024437216*I, 0.4898989802221726 + 0.*I}","{-0.035861491604082585 + 0.3393003439472338*I, 0.08754151541151692 + 0.24837233537285694*I, 0.4319158476033791 + 0.1608354859829078*I, 0.003790801777276781 - 0.32230068086036007*I}","{-0.035861491604082585 - 0.3393003439472338*I, 0.4319158476033791 - 0.1608354859829078*I, 0.08754151541151692 - 0.24837233537285694*I, 0.003790801777276781 + 0.32230068086036007*I}","{0.5013110399554211 + 0.*I, -0.039886455764415144 - 0.27516694024434246*I, -0.039886455764415144 + 0.27516694024434246*I, 0.5101010197778424 + 0.*I}"
