"t","valor esperado de Haar de la pureza de Choi"
0.,1.0000000000000009
0.5,0.9336705938238378
1.,0.8304248229037059
1.5,0.722913747482733
2.,0.6258944526780146
2.5,0.5468606330334999
3.,0.4811257745058572
3.5,0.4396115367833656
4.,0.4138158086987592
4.5,0.4130184473378383
5.,0.42843259154119195
5.5,0.44746782176860606
6.,0.45369837967273086
6.5,0.44892562751252096
7.,0.44293802242713576
7.5,0.44038195787717915
8.,0.4386878794464576
8.5,0.437290137785988
9.,0.44555809112924827
9.5,0.45816377102368216
10.,0.485747945090939
10.5,0.5162815695035141
11.,0.5451808409718257
11.5,0.5651312704355544
12.,0.5452914951521639
12.5,0.5218343886422889
13.,0.5041815246178097
13.5,0.49551770205537377
14.,0.49835525265797803
14.5,0.5003323106737554
15.,0.5013201686167594
15.5,0.5063339504329776
16.,0.5103731508294876
16.5,0.5112023035167987
17.,0.49840870684550553
17.5,0.47770617789143643
18.,0.4561163649265575
18.5,0.43577566021155434
19.,0.42518165367367866
19.5,0.4131969011890263
20.,0.40794227946095096
20.5,0.40815315394697216
21.,0.40953358277934127
21.5,0.4130950607282372
22.,0.41840285430830143
22.5,0.42613467564062757
23.,0.4365794792068478
23.5,0.452205116016971
24.,0.4674356792234795
24.5,0.4921139053463013
25.,0.5156167989701191
25.5,0.5489152438437083
26.,0.5603145255433177
26.5,0.5475370474424455
27.,0.5295363663087046
27.5,0.5030066551985727
28.,0.48181305731044316
28.5,0.46601326762264417
29.,0.46332004711988056
29.5,0.46713616939564434
30.,0.4733482251762301
30.5,0.483460606537358
31.,0.4926493649635349
31.5,0.49249986632080023
32.,0.47984233187826775
32.5,0.4611764372879097
33.,0.4456503614998813
33.5,0.4360941572571436
34.,0.4317609024288104
34.5,0.4321643789629645
35.,0.43593986544097796
35.5,0.4488082086089652
36.,0.46563039756463465
36.5,0.47741510372208174
37.,0.48867745733558593
37.5,0.4816184789844212
38.,0.4559584171644152
38.5,0.438520645350591
39.,0.4259869050396589
39.5,0.42963461556428995
40.,0.44386971522381224
40.5,0.4732181702243564
41.,0.521888972025278
41.5,0.5763800838074463
42.,0.6247130600232836
42.5,0.6434387633785262
43.,0.6308316476006008
43.5,0.599220438219781
44.,0.5579516540300838
44.5,0.522289411158267
45.,0.48963343067507265
45.5,0.4613911658733181
46.,0.4399353087622479
46.5,0.41962725936939255
47.,0.41345054663888325
47.5,0.4128348413684253
48.,0.40491286965018863
48.5,0.3995077055380293
49.,0.40347690526319213
49.5,0.41391445162174983
50.,0.44135062713234186
50.5,0.47160855028998916
51.,0.5131655191130253
51.5,0.553138450853851
52.,0.5987568196495736
52.5,0.6481354084358426
53.,0.6846738114958724
53.5,0.6893792616186782
54.,0.637743549187591
54.5,0.5800192103976252
55.,0.5239085965540518
55.5,0.4687916785218665
56.,0.4319387554893679
56.5,0.41417328473252146
57.,0.408127029560437
57.5,0.4163059863458183
58.,0.43045891766535327
58.5,0.44676555113567323
59.,0.45178826715694254
59.5,0.4392933415762339
60.,0.42980911300598773
60.5,0.4193931686195591
61.,0.4096496403652163
61.5,0.39932811668117996
62.,0.39655983786594357
62.5,0.40007937577640124
63.,0.4067077312944246
63.5,0.4173665322843373
64.,0.4324839413326006
64.5,0.44713659493617647
65.,0.4578841312359745
65.5,0.4648886766794342
66.,0.4726340672616438
66.5,0.4878258293989275
67.,0.500046250953072
67.5,0.5104241615041718
68.,0.5135219944034589
68.5,0.5053035028304409
69.,0.500246241618755
69.5,0.4890288454785046
70.,0.48188532150859864
70.5,0.4680049871650298
71.,0.4502895995296136
71.5,0.441240205755639
72.,0.4369618325511197
72.5,0.44172594849898095
73.,0.4478032187168083
73.5,0.45413062619177236
74.,0.4500082126137572
74.5,0.4469341240055517
75.,0.4383718682511491
75.5,0.4400416998458762
76.,0.44809618725812433
76.5,0.46473647699805515
77.,0.49309119617262187
77.5,0.5166808983317352
78.,0.5522299141121668
78.5,0.5841692882019263
79.,0.6103196817299155
79.5,0.6016268420942098
80.,0.5642331191328189
80.5,0.5259670311162802
81.,0.4916714878737162
81.5,0.4753309556086163
82.,0.4721388607293753
82.5,0.4783596561958935
83.,0.4978011462503169
83.5,0.5330636848229169
84.,0.5726725538807518
84.5,0.6127138846149258
85.,0.6075331656882235
85.5,0.5730017551477316
86.,0.5362848404603211
86.5,0.49890185098177614
87.,0.47188162852470783
87.5,0.45433163323229103
88.,0.4454608266544229
88.5,0.44063362712786225
89.,0.4453533583327447
89.5,0.45670124685070007
90.,0.468690663370724
90.5,0.4778875204030903
91.,0.4726099435314367
91.5,0.46164897309424613
92.,0.4593843902421169
92.5,0.4631029658014493
93.,0.4687840283512643
93.5,0.49009217191096505
94.,0.51837714409969
94.5,0.563707385072721
95.,0.6183337655658735
95.5,0.6708128520197001
96.,0.7155161950577268
96.5,0.6965648430113561
97.,0.6507189514690468
97.5,0.6000944408373758
98.,0.5551871033012084
98.5,0.5138243301421901
99.,0.479903906446692
99.5,0.4566804410184435
100.,0.43668500507677194
